,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5
0.0005,-3.23636364,5.85454546,-3.23636364,-3.23636364,-3.23636364,-1.49090908,-1.49090908,-1.49090908,-1.49090908,-1.49090908,-1.0727273,-1.0727273,8.0181818,-1.0727273,8.0181818,-1.22727274,-1.22727274,7.86363636,-1.22727274,-1.22727274,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0015,5.85454546,-3.23636364,-3.23636364,5.85454546,14.94545456,-1.49090908,-1.49090908,7.60000002,-1.49090908,-1.49090908,-1.0727273,-1.0727273,-1.0727273,-1.0727273,-1.0727273,-1.22727274,7.86363636,-1.22727274,-1.22727274,-1.22727274,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0025,-3.23636364,5.85454546,5.85454546,-3.23636364,-3.23636364,-1.49090908,-1.49090908,-1.49090908,-1.49090908,-1.49090908,-1.0727273,-1.0727273,-1.0727273,8.0181818,-1.0727273,-1.22727274,-1.22727274,-1.22727274,-1.22727274,-1.22727274,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0035,-3.23636364,-3.23636364,5.85454546,33.12727276,-3.23636364,-1.49090908,7.60000002,-1.49090908,-1.49090908,7.60000002,-1.0727273,-1.0727273,-1.0727273,-1.0727273,-1.0727273,-1.22727274,-1.22727274,-1.22727274,-1.22727274,-1.22727274,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0045,-3.23636364,5.85454546,-3.23636364,5.85454546,5.85454546,-1.49090908,-1.49090908,-1.49090908,7.60000002,-1.49090908,-1.0727273,-1.0727273,-1.0727273,-1.0727273,-1.0727273,-1.22727274,-1.22727274,-1.22727274,7.86363636,-1.22727274,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0055,-3.23636364,5.85454546,-3.23636364,-3.23636364,5.85454546,-1.49090908,-1.49090908,7.60000002,-1.49090908,25.78181822,-1.0727273,-1.0727273,-1.0727273,-1.0727273,17.1090909,-1.22727274,-1.22727274,-1.22727274,7.86363636,-1.22727274,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.1090909,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0065,5.85454546,24.03636366,42.21818186,-3.23636364,14.94545456,-1.49090908,-1.49090908,62.14545452,98.50909092,89.41818182,-1.0727273,17.1090909,26.2,35.2909091,-1.0727273,-1.22727274,7.86363636,16.95454546,26.04545456,-1.22727274,-0.1090909,8.9818182,8.9818182,-0.1090909,18.0727273,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0075,-3.23636364,-3.23636364,51.30909086,5.85454546,24.03636366,-1.49090908,25.78181822,53.05454542,53.05454542,80.32727272,-1.0727273,8.0181818,53.4727272,17.1090909,26.2,7.86363636,7.86363636,53.31818176,7.86363636,16.95454546,-0.1090909,-0.1090909,18.0727273,18.0727273,36.2545455,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0085,-3.23636364,33.12727276,5.85454546,5.85454546,-3.23636364,16.69090912,25.78181822,34.87272732,98.50909092,107.6,8.0181818,8.0181818,-1.0727273,-1.0727273,8.0181818,7.86363636,35.13636366,7.86363636,16.95454546,16.95454546,-0.1090909,-0.1090909,-0.1090909,81.7090909,27.1636364,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0095,5.85454546,24.03636366,14.94545456,14.94545456,14.94545456,-1.49090908,16.69090912,116.6909091,143.9636364,62.14545452,-1.0727273,26.2,17.1090909,17.1090909,17.1090909,-1.22727274,-1.22727274,35.13636366,7.86363636,7.86363636,-0.1090909,-0.1090909,45.3454546,45.3454546,18.0727273,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0105,5.85454546,60.39999996,14.94545456,33.12727276,24.03636366,-1.49090908,43.96363642,143.9636364,80.32727272,143.9636364,8.0181818,17.1090909,17.1090909,44.3818182,53.4727272,7.86363636,26.04545456,35.13636366,16.95454546,16.95454546,8.9818182,8.9818182,54.4363636,45.3454546,27.1636364,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
0.0115,-3.23636364,24.03636366,5.85454546,5.85454546,14.94545456,-1.49090908,34.87272732,62.14545452,25.78181822,16.69090912,-1.0727273,35.2909091,35.2909091,44.3818182,26.2,-1.22727274,16.95454546,16.95454546,7.86363636,16.95454546,-0.1090909,8.9818182,18.0727273,36.2545455,8.9818182,-0.04545454,-0.04545454,-0.04545454,-0.04545454,-0.04545454
