,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5
0.0005,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,-0.008547
0.0015,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.1115532,8.53477756,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,-0.008547
0.0025,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.08591214,-0.08591214,-0.08591214,8.46109636,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,-0.008547
0.0035,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,-0.008547
0.0045,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,-0.008547
0.0055,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,-0.008547
0.0065,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,-0.008547
0.0075,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,-0.008547
0.0085,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,8.5091365,-0.1115532,-0.1115532,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,8.5384615
0.0095,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.13697318,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.1115532,-0.08591214,-0.08591214,8.53477756,-0.08591214,-0.08591214,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0342617,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.0685971,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07692306,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.07729146,-0.008547,-0.008547,-0.008547,-0.008547,-0.008547
