,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5
0.0005,-1.22239736,4.52472904,-1.22239736,-1.22239736,-1.22239736,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.3499836,-0.3499836,-0.3499836,-0.3499836,-0.3499836,0,0,0,0,0
0.0015,-1.22239736,-1.22239736,-1.22239736,-1.22239736,-1.22239736,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.3499836,-0.3499836,-0.3499836,-0.3499836,-0.3499836,0,0,0,0,0
0.0025,10.20617404,-1.22239736,4.52472904,-1.22239736,-1.22239736,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.3499836,5.3971428,-0.3499836,-0.3499836,-0.3499836,0,0,0,0,0
0.0035,-1.22239736,4.52472904,4.52472904,-1.22239736,-1.22239736,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.3499836,-0.3499836,-0.3499836,-0.3499836,-0.3499836,0,0,0,0,0
0.0045,-1.22239736,4.52472904,-1.22239736,-1.22239736,-1.22239736,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.3499836,-0.3499836,-0.3499836,-0.3499836,-0.3499836,0,0,0,0,0
0.0055,4.49188834,-1.22239736,4.52472904,-1.22239736,-1.22239736,5.53638748,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.16059112,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.3499836,-0.3499836,-0.3499836,-0.3499836,-0.3499836,0,0,0,0,0
0.0065,-1.22239736,4.52472904,-1.22239736,-1.22239736,4.52472904,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.17789822,-0.16059112,-0.16059112,-0.16059112,-0.16059112,5.58653528,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.3499836,-0.3499836,-0.3499836,-0.3499836,-0.3499836,0,0,0,0,0
0.0075,-1.22239736,-1.22239736,4.52472904,-1.22239736,-1.22239736,-0.17789822,-0.17789822,-0.17789822,11.31635468,-0.17789822,-0.16059112,-0.16059112,-0.16059112,5.58653528,11.33366178,-0.21231528,-0.21231528,-0.21231528,-0.21231528,-0.21231528,5.3643021,-0.3499836,-0.3499836,-0.3499836,-0.3499836,0,0,0,0,0
0.0085,-1.22239736,4.52472904,44.75461414,44.75461414,50.50174054,-0.17789822,-0.17789822,5.56922818,17.06348108,28.55773398,-0.16059112,-0.16059112,5.58653528,17.08078818,45.81642038,-0.21231528,-0.21231528,-0.21231528,-0.21231528,17.02906402,-0.3499836,-0.3499836,5.3971428,11.1442693,28.3856486,0,0,0,0,0
0.0095,4.49188834,4.52472904,16.01898194,44.75461414,21.76610834,-0.17789822,-0.17789822,5.56922818,11.31635468,17.06348108,-0.16059112,-0.16059112,17.08078818,28.57504108,22.82791458,-0.21231528,-0.21231528,-0.21231528,5.53481112,17.02906402,-0.3499836,-0.3499836,16.8913957,11.1442693,5.3971428,0,0,0,0,0
