,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5
0.0005,-2.36056972,-2.36056972,-2.36056972,-2.36056972,-2.36056972,-0.21626686,-0.21626686,-0.21626686,-0.21626686,-0.21626686,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.03470764,-0.03470764,-0.03470764,-0.03470764,-0.03470764
0.0015,-2.36056972,-2.36056972,-2.36056972,-2.36056972,6.26011998,-0.21626686,-0.21626686,-0.21626686,-0.21626686,-0.21626686,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.03470764,-0.03470764,-0.03470764,-0.03470764,-0.03470764
0.0025,-2.36056972,-2.36056972,-2.36056972,-2.36056972,-2.36056972,-0.21626686,-0.21626686,-0.21626686,-0.21626686,-0.21626686,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.03470764,-0.03470764,-0.03470764,-0.03470764,-0.03470764
0.0035,-2.36056972,-2.36056972,-2.36056972,-2.36056972,-2.36056972,-0.21626686,-0.21626686,-0.21626686,8.47938534,8.40442284,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.03470764,-0.03470764,-0.03470764,-0.03470764,-0.03470764
0.0045,-2.36056972,-2.36056972,-2.36056972,-2.36056972,-2.36056972,-0.21626686,-0.21626686,-0.21626686,-0.21626686,-0.21626686,8.15359826,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.03470764,-0.03470764,-0.03470764,-0.03470764,-0.03470764
0.0055,-2.36056972,-2.36056972,6.33508248,-2.36056972,6.26011998,-0.21626686,-0.21626686,-0.21626686,-0.21626686,-0.21626686,-0.46709144,8.15359826,-0.46709144,-0.46709144,-0.46709144,-0.03470764,-0.03470764,-0.03470764,-0.03470764,-0.03470764
0.0065,-2.36056972,-2.36056972,41.11769118,15.03073458,-2.36056972,-0.21626686,8.40442284,-0.21626686,-0.21626686,17.02511244,-0.46709144,-0.46709144,8.22856076,8.22856076,-0.46709144,-0.03470764,-0.03470764,-0.03470764,-0.03470764,8.58598206
0.0075,-2.36056972,-2.36056972,6.33508248,41.11769118,49.36356818,-0.21626686,-0.21626686,8.47938534,25.87068964,-0.21626686,-0.46709144,8.15359826,8.22856076,8.22856076,-0.46709144,-0.03470764,-0.03470764,8.66094456,17.35659666,8.58598206
0.0085,6.26011998,6.26011998,15.03073458,15.03073458,75.22563718,-0.21626686,-0.21626686,17.17503744,-0.21626686,17.02511244,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.46709144,-0.03470764,-0.03470764,-0.03470764,-0.03470764,17.20667166
0.0095,6.26011998,14.88080958,75.90029988,58.50899548,83.84632688,-0.21626686,-0.21626686,17.17503744,8.47938534,17.02511244,-0.46709144,-0.46709144,8.22856076,8.22856076,8.15359826,-0.03470764,-0.03470764,8.66094456,-0.03470764,8.58598206
