,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5
0.0425,-2.06132074,7.37264156,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0435,2.65566036,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0445,2.65566036,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0455,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0465,2.65566036,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0475,-2.06132074,7.37264156,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0485,2.65566036,-2.06132074,7.37264156,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0495,-2.06132074,2.65566036,-2.06132074,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0505,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0515,-2.06132074,-2.06132074,2.65566036,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0525,2.65566036,7.37264156,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0535,7.37264156,-2.06132074,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0545,-2.06132074,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0555,12.08962266,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0565,-2.06132074,2.65566036,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,4.69811318,-0.01886792,-0.01886792
0.0575,-2.06132074,2.65566036,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0585,-2.06132074,-2.06132074,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0595,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0605,-2.06132074,-2.06132074,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0615,2.65566036,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0625,2.65566036,2.65566036,7.37264156,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0635,2.65566036,7.37264156,2.65566036,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0645,7.37264156,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
