,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5
0.0005,-1.47426544,-1.47426544,-1.47426544,5.66859166,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.94265452,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0015,12.81144886,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,6.99331302,-0.14954408,6.94265452,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0025,-1.47426544,-1.47426544,5.66859166,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,7.0851064
0.0035,-1.47426544,-1.47426544,-1.47426544,-1.47426544,5.61793316,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0045,5.66859166,-1.47426544,5.66859166,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0055,-1.47426544,-1.47426544,12.81144886,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0065,-1.47426544,-1.47426544,-1.47426544,-1.47426544,5.61793316,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,6.8430598,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0075,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,6.94265452,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,13.9352584,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0085,5.66859166,-1.47426544,5.66859166,19.95430596,12.71013176,-0.14954408,-0.14954408,6.99331302,6.99331302,21.12705162,-0.2491388,-0.2491388,-0.2491388,42.6080041,28.1196555,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0095,5.66859166,-1.47426544,34.24002026,48.52573456,33.98672746,-0.14954408,-0.14954408,-0.14954408,14.13617022,49.49584602,6.8937183,-0.2491388,49.7508612,49.7508612,49.3962513,-0.0070922,-0.0070922,-0.0070922,-0.0070922,7.0851064
0.0105,41.38287746,5.61793316,19.95430596,48.52573456,69.44772036,-0.14954408,-0.14954408,21.27902732,21.27902732,56.58804462,6.8937183,-0.2491388,21.1794326,21.1794326,35.2118541,-0.0070922,-0.0070922,7.1357649,7.1357649,21.2695035
0.0115,-1.47426544,5.61793316,69.95430596,69.95430596,83.63211756,-0.14954408,-0.14954408,35.56474162,64.13617022,35.31144882,-0.2491388,-0.2491388,28.3222898,21.1794326,28.1196555,-0.0070922,-0.0070922,7.1357649,7.1357649,35.4539007
0.0125,5.66859166,12.71013176,62.81144886,62.81144886,41.07892606,-0.14954408,6.94265452,28.42188452,28.42188452,56.58804462,-0.2491388,13.9352584,56.8937183,21.1794326,28.1196555,-0.0070922,-0.0070922,-0.0070922,7.1357649,7.0851064
0.0135,-1.47426544,5.61793316,62.81144886,34.24002026,69.44772036,-0.14954408,-0.14954408,28.42188452,78.42188452,84.95683892,-0.2491388,-0.2491388,28.3222898,56.8937183,35.2118541,-0.0070922,-0.0070922,-0.0070922,7.1357649,-0.0070922
0.0145,12.81144886,33.98672746,55.66859166,69.95430596,55.26332326,-0.14954408,-0.14954408,85.56474162,99.85045592,70.77244172,6.8937183,-0.2491388,42.6080041,92.6080041,84.8572442,-0.0070922,-0.0070922,-0.0070922,21.4214792,28.3617021
0.0155,19.95430596,12.71013176,69.95430596,27.09716316,41.07892606,-0.14954408,6.94265452,71.27902732,114.1361702,84.95683892,-0.2491388,-0.2491388,85.4651469,49.7508612,56.4884499,-0.0070922,-0.0070922,14.2786221,21.4214792,7.0851064
0.0165,5.66859166,-1.47426544,55.66859166,41.38287746,55.26332326,-0.14954408,14.03485312,114.1361702,71.27902732,21.12705162,-0.2491388,6.8430598,56.8937183,35.4651469,28.1196555,-0.0070922,-0.0070922,35.7071935,7.1357649,7.0851064
0.0175,12.81144886,-1.47426544,62.81144886,77.09716316,26.89452886,-0.14954408,14.03485312,56.99331302,49.85045592,42.40364742,-0.2491388,13.9352584,114.0365755,42.6080041,56.4884499,-0.0070922,7.0851064,7.1357649,14.2786221,-0.0070922
0.0185,12.81144886,41.07892606,55.66859166,55.66859166,12.71013176,-0.14954408,21.12705162,14.13617022,6.99331302,6.94265452,-0.2491388,6.8430598,49.7508612,56.8937183,6.8430598,-0.0070922,-0.0070922,7.1357649,-0.0070922,-0.0070922
0.0195,12.81144886,26.89452886,34.24002026,69.95430596,12.71013176,-0.14954408,70.77244172,21.27902732,35.56474162,6.94265452,6.8937183,13.9352584,21.1794326,42.6080041,28.1196555,-0.0070922,-0.0070922,7.1357649,7.1357649,-0.0070922
0.0205,12.81144886,48.17112466,48.52573456,12.81144886,26.89452886,6.99331302,35.31144882,6.99331302,14.13617022,-0.14954408,-0.2491388,28.1196555,42.6080041,6.8937183,-0.2491388,-0.0070922,7.0851064,-0.0070922,-0.0070922,-0.0070922
0.0215,-1.47426544,48.17112466,41.38287746,27.09716316,5.61793316,-0.14954408,28.21925022,-0.14954408,6.99331302,14.03485312,-0.2491388,70.672847,21.1794326,6.8937183,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0225,41.38287746,62.35552176,48.52573456,5.66859166,12.71013176,-0.14954408,28.21925022,-0.14954408,6.99331302,-0.14954408,6.8937183,21.0274569,14.0365755,-0.2491388,6.8430598,-0.0070922,21.2695035,-0.0070922,-0.0070922,-0.0070922
0.0235,5.66859166,62.35552176,-1.47426544,5.66859166,-1.47426544,6.99331302,42.40364742,-0.14954408,-0.14954408,-0.14954408,21.1794326,13.9352584,21.1794326,6.8937183,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0245,5.66859166,19.80233026,5.66859166,-1.47426544,-1.47426544,-0.14954408,28.21925022,-0.14954408,6.99331302,-0.14954408,-0.2491388,13.9352584,6.8937183,6.8937183,-0.2491388,7.1357649,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0255,19.95430596,83.63211756,5.66859166,-1.47426544,-1.47426544,14.13617022,35.31144882,-0.14954408,-0.14954408,-0.14954408,-0.2491388,56.4884499,-0.2491388,-0.2491388,-0.2491388,-0.0070922,7.0851064,-0.0070922,-0.0070922,-0.0070922
0.0265,41.38287746,55.26332326,-1.47426544,-1.47426544,-1.47426544,-0.14954408,42.40364742,-0.14954408,-0.14954408,-0.14954408,6.8937183,56.4884499,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0275,19.95430596,41.07892606,-1.47426544,-1.47426544,-1.47426544,6.99331302,14.03485312,6.99331302,-0.14954408,-0.14954408,-0.2491388,42.3040527,6.8937183,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0285,27.09716316,62.35552176,12.81144886,-1.47426544,-1.47426544,6.99331302,35.31144882,-0.14954408,-0.14954408,-0.14954408,6.8937183,28.1196555,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0295,-1.47426544,55.26332326,5.66859166,-1.47426544,-1.47426544,-0.14954408,56.58804462,-0.14954408,-0.14954408,-0.14954408,-0.2491388,28.1196555,14.0365755,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0305,27.09716316,55.26332326,5.66859166,-1.47426544,-1.47426544,-0.14954408,28.21925022,-0.14954408,-0.14954408,-0.14954408,6.8937183,49.3962513,6.8937183,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0315,19.95430596,76.53991896,-1.47426544,-1.47426544,-1.47426544,-0.14954408,6.94265452,-0.14954408,-0.14954408,-0.14954408,-0.2491388,28.1196555,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0325,41.38287746,76.53991896,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,35.2118541,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0335,19.95430596,55.26332326,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0345,41.38287746,19.80233026,-1.47426544,-1.47426544,-1.47426544,14.13617022,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,6.8430598,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0355,19.95430596,12.71013176,-1.47426544,-1.47426544,-1.47426544,-0.14954408,6.94265452,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0365,5.66859166,26.89452886,-1.47426544,-1.47426544,-1.47426544,-0.14954408,6.94265452,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0375,48.52573456,5.61793316,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0385,12.81144886,26.89452886,-1.47426544,-1.47426544,-1.47426544,6.99331302,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0395,12.81144886,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,6.94265452,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0405,19.95430596,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0415,-1.47426544,5.61793316,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0425,19.95430596,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0435,5.66859166,5.61793316,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0445,19.95430596,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0455,12.81144886,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0465,5.66859166,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0475,19.95430596,-1.47426544,-1.47426544,-1.47426544,-1.47426544,14.13617022,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0485,12.81144886,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0495,19.95430596,-1.47426544,-1.47426544,-1.47426544,-1.47426544,6.99331302,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0505,27.09716316,-1.47426544,-1.47426544,-1.47426544,-1.47426544,6.99331302,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0515,19.95430596,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0525,27.09716316,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0535,19.95430596,-1.47426544,-1.47426544,-1.47426544,-1.47426544,6.99331302,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0545,27.09716316,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0555,12.81144886,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,21.1794326,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0565,19.95430596,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0575,5.66859166,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,28.3222898,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0585,27.09716316,-1.47426544,-1.47426544,-1.47426544,-1.47426544,14.13617022,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0595,34.24002026,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0605,12.81144886,-1.47426544,-1.47426544,-1.47426544,-1.47426544,6.99331302,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0615,12.81144886,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0625,12.81144886,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0635,5.66859166,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,6.8937183,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0645,5.66859166,-1.47426544,-1.47426544,-1.47426544,-1.47426544,6.99331302,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0655,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0665,5.66859166,-1.47426544,-1.47426544,-1.47426544,-1.47426544,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
0.0675,5.66859166,-1.47426544,-1.47426544,-1.47426544,12.71013176,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.14954408,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.2491388,-0.0070922,-0.0070922,-0.0070922,-0.0070922,-0.0070922
