,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5
0.0005,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,4.85055196,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0015,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0025,-1.45076114,4.57333526,-1.45076114,-1.45076114,-1.45076114,-0.58361588,5.44048052,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,4.88662436,5.13354014,-0.89055626,-0.89055626,5.13354014,5.13354014
0.0035,4.57333526,-1.45076114,4.53726286,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0045,4.57333526,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,5.44048052,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,5.13354014
0.0055,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,4.88662436,-1.13747204,4.85055196,-1.13747204,-1.13747204,-0.89055626,5.13354014,-0.89055626,-0.89055626,5.13354014
0.0065,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,10.83857586,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0075,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,4.88662436,-1.13747204,-0.89055626,5.13354014,-0.89055626,-0.89055626,-0.89055626
0.0085,-1.45076114,4.57333526,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0095,10.59743166,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,5.44048052,-1.13747204,-1.13747204,-1.13747204,-1.13747204,4.88662436,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0105,-1.45076114,-1.45076114,4.53726286,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,5.13354014,5.13354014
0.0115,-1.45076114,-1.45076114,-1.45076114,10.59743166,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,4.88662436,4.88662436,-0.89055626,-0.89055626,-0.89055626,-0.89055626,11.15763654
0.0125,-1.45076114,-1.45076114,4.53726286,-1.45076114,28.66972076,-0.58361588,-0.58361588,-0.58361588,-0.58361588,11.46457692,-1.13747204,-1.13747204,4.85055196,4.88662436,35.00710626,5.13354014,-0.89055626,5.09746774,-0.89055626,5.13354014
0.0135,-1.45076114,-1.45076114,10.52528676,22.64562436,34.69381716,-0.58361588,-0.58361588,-0.58361588,-0.58361588,53.63325162,-1.13747204,4.88662436,-1.13747204,41.03120266,101.2721666,-0.89055626,-0.89055626,-0.89055626,-0.89055626,11.15763654
0.0145,4.57333526,-1.45076114,16.51331076,58.79020276,88.91068466,-0.58361588,-0.58361588,5.40440812,29.53686602,47.60915522,-1.13747204,-1.13747204,22.81462376,83.19987736,83.19987736,5.13354014,-0.89055626,-0.89055626,11.15763654,17.18173294
0.0155,-1.45076114,4.57333526,46.45343046,82.88658826,58.79020276,-0.58361588,-0.58361588,11.39243202,23.51276962,29.53686602,-1.13747204,10.91072076,40.77869566,47.05529906,71.15168456,-0.89055626,-0.89055626,11.08549164,11.15763654,29.22992564
0.0165,-1.45076114,4.57333526,46.45343046,34.69381716,46.74200996,-0.58361588,5.44048052,5.40440812,17.48867332,35.56096242,4.88662436,4.88662436,64.73079146,41.03120266,35.00710626,-0.89055626,-0.89055626,11.08549164,29.22992564,71.39860034
0.0175,4.57333526,4.57333526,40.46540656,34.69381716,28.66972076,-0.58361588,-0.58361588,11.39243202,35.56096242,17.48867332,-1.13747204,4.88662436,22.81462376,22.95891346,28.98300986,-0.89055626,-0.89055626,5.09746774,17.18173294,23.20582924
0.0185,4.57333526,4.57333526,34.47738256,10.59743166,22.64562436,-0.58361588,-0.58361588,5.40440812,5.44048052,35.56096242,-1.13747204,4.88662436,34.79067166,16.93481716,53.07939546,-0.89055626,11.15763654,5.09746774,17.18173294,23.20582924
0.0195,-1.45076114,-1.45076114,4.53726286,34.69381716,10.59743166,-0.58361588,-0.58361588,-0.58361588,23.51276962,17.48867332,-1.13747204,4.88662436,28.80264776,10.91072076,16.93481716,-0.89055626,-0.89055626,17.07351564,5.13354014,11.15763654
0.0205,-1.45076114,4.57333526,34.47738256,10.59743166,34.69381716,-0.58361588,-0.58361588,5.40440812,5.44048052,17.48867332,-1.13747204,4.88662436,4.85055196,10.91072076,41.03120266,-0.89055626,-0.89055626,-0.89055626,5.13354014,23.20582924
0.0215,-1.45076114,4.57333526,16.51331076,4.57333526,40.71791356,-0.58361588,5.44048052,5.40440812,29.53686602,5.44048052,-1.13747204,10.91072076,-1.13747204,41.03120266,22.95891346,-0.89055626,-0.89055626,5.09746774,11.15763654,5.13354014
0.0225,4.57333526,-1.45076114,4.53726286,16.62152806,10.59743166,-0.58361588,-0.58361588,5.40440812,5.44048052,5.44048052,-1.13747204,16.93481716,-1.13747204,4.88662436,10.91072076,-0.89055626,-0.89055626,17.07351564,5.13354014,11.15763654
0.0235,-1.45076114,10.59743166,-1.45076114,-1.45076114,10.59743166,-0.58361588,-0.58361588,11.39243202,5.44048052,-0.58361588,-1.13747204,-1.13747204,4.85055196,16.93481716,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0245,10.59743166,10.59743166,-1.45076114,4.57333526,10.59743166,-0.58361588,5.44048052,5.40440812,11.46457692,-0.58361588,-1.13747204,4.88662436,4.85055196,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,11.15763654,-0.89055626
0.0255,-1.45076114,10.59743166,-1.45076114,-1.45076114,4.57333526,5.44048052,-0.58361588,-0.58361588,-0.58361588,5.44048052,4.88662436,4.88662436,-1.13747204,4.88662436,-1.13747204,-0.89055626,-0.89055626,11.08549164,-0.89055626,-0.89055626
0.0265,-1.45076114,-1.45076114,4.53726286,4.57333526,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,4.88662436,-1.13747204,-0.89055626,-0.89055626,-0.89055626,5.13354014,-0.89055626
0.0275,-1.45076114,10.59743166,-1.45076114,4.57333526,-1.45076114,5.44048052,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,10.83857586,4.88662436,-1.13747204,-0.89055626,5.13354014,-0.89055626,-0.89055626,-0.89055626
0.0285,10.59743166,4.57333526,-1.45076114,-1.45076114,-1.45076114,5.44048052,5.44048052,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,4.88662436,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0295,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0305,-1.45076114,10.59743166,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,4.88662436,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,5.13354014,-0.89055626
0.0315,10.59743166,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,10.91072076,-1.13747204,-1.13747204,4.88662436,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0325,-1.45076114,10.59743166,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,4.88662436,4.88662436,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0335,-1.45076114,4.57333526,-1.45076114,-1.45076114,4.57333526,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,4.88662436,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0345,-1.45076114,4.57333526,4.53726286,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,4.88662436,-1.13747204,-1.13747204,4.88662436,-1.13747204,5.13354014,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0355,-1.45076114,4.57333526,4.53726286,-1.45076114,-1.45076114,-0.58361588,5.44048052,-0.58361588,-0.58361588,-0.58361588,4.88662436,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0365,-1.45076114,4.57333526,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,4.88662436,4.88662436,4.85055196,-1.13747204,4.88662436,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0375,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,5.44048052,-0.58361588,-0.58361588,-0.58361588,4.88662436,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0385,4.57333526,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,10.91072076,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0395,4.57333526,-1.45076114,-1.45076114,-1.45076114,-1.45076114,5.44048052,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,4.88662436,-1.13747204,-1.13747204,-1.13747204,5.13354014,5.13354014,-0.89055626,5.13354014,-0.89055626
0.0405,4.57333526,4.57333526,4.53726286,-1.45076114,-1.45076114,5.44048052,5.44048052,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,4.88662436,5.13354014,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0415,4.57333526,4.57333526,-1.45076114,-1.45076114,-1.45076114,5.44048052,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0425,4.57333526,4.57333526,-1.45076114,4.57333526,-1.45076114,5.44048052,-0.58361588,5.40440812,-0.58361588,-0.58361588,-1.13747204,-1.13747204,4.85055196,-1.13747204,-1.13747204,5.13354014,5.13354014,-0.89055626,-0.89055626,-0.89055626
0.0435,10.59743166,-1.45076114,4.53726286,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,10.91072076,-1.13747204,-1.13747204,-1.13747204,5.13354014,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0445,-1.45076114,4.57333526,4.53726286,-1.45076114,-1.45076114,5.44048052,-0.58361588,-0.58361588,-0.58361588,-0.58361588,4.88662436,10.91072076,-1.13747204,-1.13747204,-1.13747204,5.13354014,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0455,10.59743166,-1.45076114,4.53726286,4.57333526,-1.45076114,-0.58361588,5.44048052,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0465,-1.45076114,4.57333526,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0475,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,11.46457692,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0485,10.59743166,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,4.88662436,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0495,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0505,4.57333526,4.57333526,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,10.91072076,16.93481716,4.85055196,-1.13747204,-1.13747204,17.18173294,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0515,-1.45076114,4.57333526,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,5.44048052,-0.58361588,4.88662436,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,5.13354014,-0.89055626,-0.89055626,-0.89055626
0.0525,-1.45076114,-1.45076114,4.53726286,4.57333526,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,4.88662436,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0535,16.62152806,4.57333526,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,4.88662436,4.88662436,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0545,-1.45076114,4.57333526,4.53726286,-1.45076114,4.57333526,-0.58361588,-0.58361588,5.40440812,-0.58361588,-0.58361588,-1.13747204,4.88662436,-1.13747204,4.88662436,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0555,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,5.13354014,5.09746774,5.13354014,-0.89055626
0.0565,10.59743166,10.59743166,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,5.40440812,-0.58361588,-0.58361588,4.88662436,4.88662436,-1.13747204,-1.13747204,-1.13747204,-0.89055626,5.13354014,-0.89055626,-0.89055626,-0.89055626
0.0575,4.57333526,10.59743166,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,4.88662436,4.85055196,-1.13747204,-1.13747204,-0.89055626,5.13354014,-0.89055626,-0.89055626,-0.89055626
0.0585,4.57333526,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,10.91072076,4.88662436,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0595,4.57333526,16.62152806,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,4.88662436,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,5.09746774,-0.89055626,-0.89055626
0.0605,10.59743166,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,4.88662436,4.88662436,-1.13747204,-1.13747204,4.88662436,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0615,-1.45076114,-1.45076114,4.53726286,-1.45076114,-1.45076114,-0.58361588,5.44048052,-0.58361588,-0.58361588,-0.58361588,4.88662436,4.88662436,-1.13747204,-1.13747204,4.88662436,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0625,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,-1.13747204,-1.13747204,-1.13747204,5.13354014,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0635,10.59743166,4.57333526,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,4.88662436,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0645,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-1.45076114,-0.58361588,5.44048052,-0.58361588,-0.58361588,-0.58361588,-1.13747204,10.91072076,-1.13747204,-1.13747204,-1.13747204,-0.89055626,-0.89055626,-0.89055626,-0.89055626,-0.89055626
0.0655,-1.45076114,4.57333526,-1.45076114,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,-1.13747204,4.85055196,4.88662436,-1.13747204,-0.89055626,5.13354014,-0.89055626,-0.89055626,-0.89055626
0.0665,-1.45076114,4.57333526,4.53726286,-1.45076114,-1.45076114,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-0.58361588,-1.13747204,4.88662436,-1.13747204,-1.13747204,-1.13747204,5.13354014,-0.89055626,-0.89055626,5.13354014,5.13354014
0.0675,-1.45076114,-1.45076114,-1.45076114,-1.45076114,4.57333526,-0.58361588,-0.58361588,5.40440812,-0.58361588,-0.58361588,-1.13747204,4.88662436,-1.13747204,-1.13747204,-1.13747204,-0.89055626,5.13354014,-0.89055626,-0.89055626,-0.89055626
