,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5
0.0005,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0015,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,8.0426537
0.0025,-0.64730136,-0.64730136,-0.64730136,7.97338834,-0.64730136,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0035,-0.64730136,-0.64730136,-0.64730136,7.97338834,-0.64730136,-1.11401798,-1.11401798,7.50667172,-1.11401798,7.50667172,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0045,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,-1.11401798,-1.11401798,-1.11401798,7.50667172,-0.578036,-0.578036,-0.578036,-0.578036,8.0426537
0.0055,-0.64730136,-0.64730136,-0.64730136,7.97338834,16.59407794,-1.11401798,-1.11401798,-1.11401798,7.50667172,16.12736132,-0.578036,-0.578036,-0.578036,16.6633433,8.0426537
0.0065,-0.64730136,-0.64730136,7.97338834,-0.64730136,16.59407794,-1.11401798,-1.11401798,16.12736132,16.12736132,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,16.6633433
0.0075,-0.64730136,-0.64730136,-0.64730136,137.2837331,128.6630434,-1.11401798,-1.11401798,-1.11401798,24.74805102,41.98943032,-0.578036,-0.578036,-0.578036,16.6633433,51.1461019
0.0085,-0.64730136,-0.64730136,-0.64730136,94.18028484,68.31821584,-1.11401798,-1.11401798,16.12736132,24.74805102,16.12736132,-0.578036,-0.578036,8.0426537,16.6633433,59.7667916
0.0095,-0.64730136,-0.64730136,7.97338834,120.0423538,111.4216641,-1.11401798,-1.11401798,16.12736132,33.36874062,24.74805102,-0.578036,-0.578036,16.6633433,94.2495502,111.4909295
0.0105,-0.64730136,-0.64730136,59.69752624,102.8009745,102.8009745,7.50667172,-1.11401798,7.50667172,24.74805102,41.98943032,-0.578036,-0.578036,-0.578036,68.3874812,59.7667916
0.0115,-0.64730136,8.04835084,137.2837331,59.69752624,25.21476764,7.50667172,7.58163422,59.23080962,24.74805102,33.36874062,-0.578036,-0.578036,42.5254123,94.2495502,33.9047226
0.0125,-0.64730136,-0.64730136,128.6630434,7.97338834,-0.64730136,7.50667172,-1.11401798,16.12736132,16.12736132,16.12736132,-0.578036,8.1176162,51.1461019,68.3874812,8.0426537
0.0135,-0.64730136,8.04835084,85.55959524,16.59407794,-0.64730136,7.50667172,24.97293852,50.61011992,-1.11401798,-1.11401798,-0.578036,25.5089205,33.9047226,16.6633433,-0.578036
0.0145,-0.64730136,16.74400294,59.69752624,-0.64730136,-0.64730136,16.12736132,24.97293852,24.74805102,-1.11401798,-1.11401798,-0.578036,8.1176162,59.7667916,-0.578036,-0.578036
0.0155,7.97338834,25.43965514,33.83545724,-0.64730136,-0.64730136,7.50667172,-1.11401798,33.36874062,-1.11401798,-1.11401798,-0.578036,8.1176162,-0.578036,-0.578036,-0.578036
0.0165,7.97338834,-0.64730136,-0.64730136,-0.64730136,-0.64730136,16.12736132,42.36424292,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0175,-0.64730136,16.74400294,-0.64730136,7.97338834,-0.64730136,-1.11401798,24.97293852,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0185,-0.64730136,16.74400294,-0.64730136,-0.64730136,-0.64730136,-1.11401798,33.66859072,-1.11401798,-1.11401798,-1.11401798,-0.578036,8.1176162,-0.578036,-0.578036,-0.578036
0.0195,7.97338834,34.13530734,-0.64730136,-0.64730136,-0.64730136,-1.11401798,16.27728632,-1.11401798,-1.11401798,7.50667172,-0.578036,16.8132683,-0.578036,-0.578036,-0.578036
0.0205,-0.64730136,34.13530734,-0.64730136,-0.64730136,-0.64730136,7.50667172,7.58163422,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,8.0426537
0.0215,-0.64730136,42.83095954,-0.64730136,-0.64730136,-0.64730136,-1.11401798,42.36424292,-1.11401798,-1.11401798,7.50667172,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0225,-0.64730136,34.13530734,-0.64730136,-0.64730136,-0.64730136,-1.11401798,7.58163422,7.50667172,-1.11401798,-1.11401798,-0.578036,8.1176162,-0.578036,-0.578036,-0.578036
0.0235,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,7.58163422,-1.11401798,-1.11401798,-1.11401798,-0.578036,16.8132683,-0.578036,-0.578036,-0.578036
0.0245,-0.64730136,8.04835084,-0.64730136,-0.64730136,-0.64730136,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-0.578036,8.1176162,-0.578036,-0.578036,-0.578036
0.0255,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,7.58163422,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0265,-0.64730136,8.04835084,-0.64730136,-0.64730136,-0.64730136,-1.11401798,-1.11401798,-1.11401798,-1.11401798,7.50667172,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0275,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0285,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,7.58163422,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,8.0426537,-0.578036,-0.578036
0.0295,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,7.58163422,7.50667172,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0305,-0.64730136,-0.64730136,-0.64730136,7.97338834,-0.64730136,-1.11401798,7.58163422,-1.11401798,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0315,7.97338834,-0.64730136,-0.64730136,-0.64730136,7.97338834,-1.11401798,-1.11401798,16.12736132,7.50667172,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0325,-0.64730136,-0.64730136,-0.64730136,-0.64730136,7.97338834,-1.11401798,-1.11401798,-1.11401798,7.50667172,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0335,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,-1.11401798,7.50667172,-1.11401798,-1.11401798,-0.578036,-0.578036,8.0426537,8.0426537,-0.578036
0.0345,-0.64730136,-0.64730136,-0.64730136,7.97338834,-0.64730136,-1.11401798,-1.11401798,7.50667172,7.50667172,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0355,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-1.11401798,7.58163422,16.12736132,-1.11401798,-1.11401798,-0.578036,8.1176162,8.0426537,-0.578036,-0.578036
0.0365,-0.64730136,-0.64730136,-0.64730136,-0.64730136,-0.64730136,16.12736132,16.27728632,7.50667172,16.12736132,-1.11401798,-0.578036,-0.578036,8.0426537,-0.578036,-0.578036
0.0375,-0.64730136,8.04835084,-0.64730136,7.97338834,-0.64730136,-1.11401798,7.58163422,7.50667172,-1.11401798,-1.11401798,-0.578036,-0.578036,-0.578036,-0.578036,-0.578036
0.0385,-0.64730136,8.04835084,7.97338834,-0.64730136,-0.64730136,-1.11401798,-1.11401798,16.12736132,-1.11401798,-1.11401798,-0.578036,8.1176162,8.0426537,-0.578036,-0.578036
