,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5
0.0005,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0015,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0025,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0035,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,7.79699612,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0045,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0055,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0065,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,7.75042394,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0075,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,7.65885416,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0085,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0095,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0105,-0.10089634,-0.10089634,7.65104166,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,7.65885418,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,7.68986194,-0.06207606,7.68986194,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0115,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,7.65885418,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0125,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,7.68986194,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0135,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,7.65885416,-0.06207606,-0.06207606,-0.06207606,7.68986194,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0145,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,7.65885418,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0155,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,7.65885416,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0165,-0.10089634,-0.10089634,-0.10089634,-0.10089634,15.40297966,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,7.68986194,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0175,-0.10089634,-0.10089634,-0.10089634,7.65104166,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,7.65885416,7.75042394,-0.06207606,-0.06207606,7.68986194,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0185,-0.10089634,-0.10089634,-0.10089634,7.65104166,7.65104166,-0.09308382,-0.09308382,-0.09308382,-0.09308382,15.41079218,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,7.73643412,-0.01550388
0.0195,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,15.41079218,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,7.68986194,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0205,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,7.75042394,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0215,-0.10089634,-0.10089634,-0.10089634,7.65104166,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,7.65885416,-0.09308384,-0.09308384,15.41079216,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0225,-0.10089634,-0.10089634,15.40297966,-0.10089634,-0.10089634,-0.09308382,-0.09308382,7.65885418,15.41079218,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,7.68986194,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0235,-0.10089634,-0.10089634,-0.10089634,-0.10089634,7.65104166,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,7.65885416,15.41079216,7.65885416,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0245,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,15.41079218,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0255,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,15.41079218,-0.09308382,-0.09308382,-0.09308384,-0.09308384,7.65885416,7.65885416,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0265,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,7.65885418,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,15.41079216,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,7.68986194,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0275,-0.10089634,-0.10089634,7.65104166,-0.10089634,-0.10089634,-0.09308382,-0.09308382,7.65885418,-0.09308382,-0.09308382,-0.09308384,-0.09308384,7.65885416,-0.09308384,7.65885416,-0.06207606,-0.06207606,7.68986194,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0285,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0295,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0305,-0.10089634,-0.10089634,-0.10089634,7.65104166,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,7.65885416,7.65885416,7.65885416,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0315,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,7.65885418,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0325,-0.10089634,-0.10089634,7.65104166,-0.10089634,7.65104166,-0.09308382,7.65885418,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,7.65885416,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0335,-0.10089634,-0.10089634,7.65104166,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0345,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,7.65885416,-0.09308384,7.65885416,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0355,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0365,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,7.68986194,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0375,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0385,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,7.65885418,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0395,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0405,-0.10089634,-0.10089634,7.65104166,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,7.65885418,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,7.68986194,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0415,-0.10089634,-0.10089634,-0.10089634,7.65104166,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0425,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0435,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,7.65885416,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0445,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
0.0455,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.10089634,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308382,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.09308384,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.06207606,-0.01550388,-0.01550388,-0.01550388,-0.01550388,-0.01550388
