,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5
0.0005,7.97868402,-1.03032498,-1.03032498,-1.03032498,-1.03032498,-0.797056,-0.797056,-0.797056,-0.797056,-0.797056,7.58381592,-1.42519308,-1.42519308,-1.42519308,16.59282492,-0.27767054,-0.27767054,-0.27767054,-0.27767054,-0.27767054,-1.1463964,-1.1463964,-1.1463964,-1.1463964,-1.1463964
0.0015,-1.03032498,-1.03032498,-1.03032498,-1.03032498,7.97868402,-0.797056,-0.797056,-0.797056,-0.797056,-0.797056,-1.42519308,7.50337832,-1.42519308,-1.42519308,7.58381592,-0.27767054,-0.27767054,-0.27767054,-0.27767054,-0.27767054,-1.1463964,7.782175,-1.1463964,-1.1463964,-1.1463964
0.0025,-1.03032498,7.89824642,-1.03032498,-1.03032498,-1.03032498,-0.797056,-0.797056,8.1315154,-0.797056,-0.797056,7.58381592,-1.42519308,-1.42519308,7.50337832,-1.42519308,-0.27767054,-0.27767054,-0.27767054,-0.27767054,-0.27767054,7.8626126,-1.1463964,-1.1463964,-1.1463964,-1.1463964
0.0035,-1.03032498,-1.03032498,-1.03032498,-1.03032498,-1.03032498,-0.797056,-0.797056,-0.797056,-0.797056,-0.797056,-1.42519308,-1.42519308,-1.42519308,-1.42519308,-1.42519308,-0.27767054,-0.27767054,-0.27767054,-0.27767054,8.73133846,-1.1463964,-1.1463964,-1.1463964,-1.1463964,-1.1463964
0.0045,16.98769302,7.89824642,-1.03032498,-1.03032498,-1.03032498,-0.797056,-0.797056,-0.797056,-0.797056,-0.797056,7.58381592,-1.42519308,-1.42519308,-1.42519308,-1.42519308,-0.27767054,-0.27767054,-0.27767054,-0.27767054,8.73133846,-1.1463964,-1.1463964,-1.1463964,-1.1463964,-1.1463964
0.0055,7.97868402,-1.03032498,-1.03032498,7.89824642,-1.03032498,-0.797056,17.0600869,8.1315154,52.7743726,71.2750161,-1.42519308,-1.42519308,25.36052122,25.36052122,16.59282492,-0.27767054,-0.27767054,-0.27767054,-0.27767054,-0.27767054,-1.1463964,-1.1463964,-1.1463964,7.782175,-1.1463964
0.0065,-1.03032498,-1.03032498,34.68396072,25.75538932,35.00571102,-0.797056,-0.797056,25.9886583,8.1315154,-0.797056,-1.42519308,7.50337832,25.36052122,16.43194982,-1.42519308,-0.27767054,-0.27767054,8.65090086,8.65090086,8.73133846,-1.1463964,-1.1463964,16.7107465,16.7107465,16.8716216
0.0075,-1.03032498,16.82681792,43.61253212,79.32681792,116.0867921,-0.797056,17.0600869,17.0600869,8.1315154,26.229971,-1.42519308,25.36052122,43.21766402,34.28909262,-1.42519308,-0.27767054,-0.27767054,26.50804376,35.43661516,35.75836546,7.8626126,-1.1463964,34.5678893,34.5678893,34.8896396
0.0085,-1.03032498,7.89824642,79.32681792,88.25538932,107.0777831,-0.797056,25.9886583,17.0600869,8.1315154,-0.797056,7.58381592,25.36052122,7.50337832,16.43194982,7.58381592,-0.27767054,8.65090086,26.50804376,44.36518656,44.76737446,-1.1463964,-1.1463964,52.4250322,16.7107465,7.8626126
0.0095,-1.03032498,7.89824642,106.1125321,132.8982464,233.2039092,-0.797056,8.1315154,-0.797056,-0.797056,8.211953,7.58381592,7.50337832,16.43194982,-1.42519308,7.58381592,-0.27767054,17.57947236,35.43661516,17.57947236,17.74034746,7.8626126,16.7107465,16.7107465,34.5678893,43.8986486
