,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5
0.0005,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.06369428,-0.06369428,-0.06369428,-0.06369428,-0.06369428
0.0015,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,6.22293,-0.1464968,-0.1464968,-0.1464968,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.06369428,-0.06369428,-0.06369428,-0.06369428,-0.06369428
0.0025,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.06369428,-0.06369428,-0.06369428,-0.06369428,-0.06369428
0.0035,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.06369428,-0.06369428,-0.06369428,-0.06369428,-0.06369428
0.0045,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.06369428,-0.06369428,-0.06369428,-0.06369428,-0.06369428
0.0055,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.06369428,-0.06369428,-0.06369428,-0.06369428,-0.06369428
0.0065,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.06369428,-0.06369428,-0.06369428,-0.06369428,-0.06369428
0.0075,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.1464968,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.01910828,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.10828026,6.26114654,-0.10828026,6.26114654,6.26114654,-0.06369428,-0.06369428,-0.06369428,6.30573252,-0.06369428
0.0085,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,-0.1464968,-0.1464968,12.5923567,6.22293,-0.01910828,-0.01910828,-0.01910828,-0.01910828,6.35031852,-0.04458598,-0.04458598,-0.04458598,-0.04458598,6.32484082,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.06369428,-0.06369428,-0.06369428,-0.06369428,6.30573252
0.0095,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.0509554,-0.1464968,-0.1464968,6.22293,-0.1464968,6.22293,-0.01910828,-0.01910828,-0.01910828,-0.01910828,6.35031852,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.04458598,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.10828026,-0.06369428,-0.06369428,6.30573252,-0.06369428,-0.06369428
