,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5
0.0395,-0.26415674,3.86807466,-0.26415674,-0.26415674,-0.26415674,7.33600312,7.33600312,-0.92845968,-0.92845968,-0.92845968,-0.99862258,3.13360882,-0.99862258,-0.99862258,-0.99862258,-0.27655342,-0.27655342,7.98790938,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0405,-0.26415674,-0.26415674,-0.26415674,-0.26415674,3.85106956,-0.92845968,7.33600312,3.20377172,3.18676662,-0.92845968,-0.99862258,7.26584022,-0.99862258,-0.99862258,3.11660372,-0.27655342,-0.27655342,3.85567798,-0.27655342,-0.27655342,-0.3919668,12.0047274,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0415,3.86807466,-0.26415674,-0.26415674,-0.26415674,-0.26415674,3.20377172,3.20377172,7.33600312,-0.92845968,-0.92845968,-0.99862258,11.39807162,-0.99862258,3.11660372,3.11660372,3.85567798,-0.27655342,-0.27655342,7.95389928,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0425,-0.26415674,3.86807466,-0.26415674,-0.26415674,-0.26415674,-0.92845968,3.20377172,-0.92845968,-0.92845968,-0.92845968,3.13360882,3.13360882,7.26584022,-0.99862258,3.11660372,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,4.02494642,-0.10728498,-0.10728498,-0.10728498
0.0435,-0.26415674,-0.26415674,3.86807466,-0.26415674,3.85106956,3.20377172,7.33600312,3.20377172,3.18676662,-0.92845968,-0.99862258,-0.99862258,-0.99862258,-0.99862258,-0.99862258,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0445,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.26415674,3.20377172,-0.92845968,-0.92845968,-0.92845968,-0.92845968,-0.99862258,3.13360882,7.26584022,-0.99862258,3.11660372,-0.27655342,-0.27655342,-0.27655342,3.83867288,-0.27655342,-0.3919668,-0.3919668,3.7402646,-0.3919668,-0.3919668,-0.10728498,-0.10728498,4.02494642,-0.10728498,-0.10728498
0.0455,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.92845968,3.20377172,-0.92845968,3.18676662,-0.92845968,-0.99862258,15.53030302,-0.99862258,-0.99862258,-0.99862258,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0465,3.86807466,-0.26415674,-0.26415674,-0.26415674,-0.26415674,3.20377172,3.20377172,-0.92845968,3.18676662,3.18676662,-0.99862258,-0.99862258,-0.99862258,-0.99862258,3.11660372,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0475,-0.26415674,-0.26415674,-0.26415674,3.85106956,-0.26415674,7.33600312,-0.92845968,-0.92845968,3.18676662,3.18676662,3.13360882,7.26584022,11.39807162,-0.99862258,3.11660372,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0485,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.26415674,3.20377172,-0.92845968,-0.92845968,-0.92845968,3.18676662,-0.99862258,11.39807162,3.13360882,3.11660372,-0.99862258,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,3.7402646,-0.3919668,-0.3919668,3.7232595,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
