,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5
0.0185,-2,-2,-2,5.4074074,5.4074074,-0.94814816,-0.94814816,6.45925924,6.45925924,13.86666664,-1.36296296,-1.36296296,-1.36296296,-1.36296296,28.26666664,-0.7703704,28.8592592,-0.7703704,28.8592592,28.8592592,-0.8148148,-0.8148148,-0.8148148,6.5925926,6.5925926
0.0195,-2,-2,5.4074074,20.2222222,49.8518519,-0.94814816,-0.94814816,6.45925924,21.27407404,28.68148144,-1.36296296,-1.36296296,20.85925924,6.04444444,20.85925924,6.637037,-0.7703704,-0.7703704,43.674074,21.4518518,-0.8148148,-0.8148148,-0.8148148,6.5925926,21.4074074
0.0205,-2,-2,12.8148148,12.8148148,27.6296296,-0.94814816,6.45925924,6.45925924,6.45925924,-0.94814816,-1.36296296,-1.36296296,13.45185184,6.04444444,50.48888894,-0.7703704,-0.7703704,-0.7703704,6.637037,6.637037,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0215,5.4074074,5.4074074,5.4074074,12.8148148,12.8148148,-0.94814816,-0.94814816,6.45925924,13.86666664,43.49629624,-1.36296296,-1.36296296,-1.36296296,13.45185184,28.26666664,-0.7703704,6.637037,6.637037,21.4518518,21.4518518,-0.8148148,6.5925926,6.5925926,14,14
0.0225,-2,5.4074074,20.2222222,12.8148148,27.6296296,-0.94814816,13.86666664,21.27407404,-0.94814816,6.45925924,-1.36296296,6.04444444,6.04444444,6.04444444,35.67407404,-0.7703704,-0.7703704,6.637037,14.0444444,14.0444444,-0.8148148,-0.8148148,6.5925926,-0.8148148,-0.8148148
0.0235,-2,-2,5.4074074,5.4074074,12.8148148,-0.94814816,6.45925924,6.45925924,28.68148144,13.86666664,-1.36296296,-1.36296296,-1.36296296,20.85925924,28.26666664,-0.7703704,-0.7703704,-0.7703704,14.0444444,6.637037,-0.8148148,-0.8148148,-0.8148148,14,-0.8148148
0.0245,-2,-2,12.8148148,49.8518519,42.4444444,-0.94814816,-0.94814816,28.68148144,28.68148144,13.86666664,-1.36296296,-1.36296296,13.45185184,13.45185184,43.08148144,-0.7703704,6.637037,-0.7703704,-0.7703704,-0.7703704,-0.8148148,6.5925926,-0.8148148,-0.8148148,6.5925926
0.0255,5.4074074,-2,12.8148148,12.8148148,42.4444444,-0.94814816,-0.94814816,21.27407404,21.27407404,21.27407404,-1.36296296,-1.36296296,28.26666664,6.04444444,20.85925924,-0.7703704,-0.7703704,6.637037,36.2666666,-0.7703704,-0.8148148,-0.8148148,-0.8148148,6.5925926,-0.8148148
0.0265,-2,-2,20.2222222,35.037037,12.8148148,-0.94814816,-0.94814816,-0.94814816,6.45925924,21.27407404,-1.36296296,-1.36296296,28.26666664,6.04444444,13.45185184,-0.7703704,-0.7703704,-0.7703704,21.4518518,14.0444444,-0.8148148,6.5925926,-0.8148148,6.5925926,-0.8148148
0.0275,-2,-2,5.4074074,35.037037,20.2222222,-0.94814816,-0.94814816,21.27407404,-0.94814816,6.45925924,-1.36296296,-1.36296296,13.45185184,-1.36296296,13.45185184,6.637037,-0.7703704,21.4518518,-0.7703704,6.637037,-0.8148148,-0.8148148,6.5925926,-0.8148148,-0.8148148
0.0285,-2,12.8148148,5.4074074,12.8148148,12.8148148,-0.94814816,-0.94814816,13.86666664,6.45925924,28.68148144,6.04444444,20.85925924,20.85925924,35.67407404,20.85925924,6.637037,-0.7703704,14.0444444,-0.7703704,21.4518518,-0.8148148,-0.8148148,-0.8148148,6.5925926,-0.8148148
0.0295,-2,12.8148148,20.2222222,12.8148148,12.8148148,-0.94814816,-0.94814816,-0.94814816,13.86666664,6.45925924,-1.36296296,13.45185184,20.85925924,20.85925924,20.85925924,6.637037,-0.7703704,-0.7703704,14.0444444,6.637037,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0305,5.4074074,5.4074074,49.8518519,35.037037,5.4074074,-0.94814816,-0.94814816,21.27407404,6.45925924,13.86666664,-1.36296296,6.04444444,43.08148144,6.04444444,6.04444444,-0.7703704,-0.7703704,6.637037,-0.7703704,6.637037,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0315,12.8148148,-2,35.037037,12.8148148,-2,6.45925924,6.45925924,21.27407404,21.27407404,13.86666664,-1.36296296,-1.36296296,-1.36296296,65.30370374,20.85925924,-0.7703704,-0.7703704,14.0444444,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,6.5925926,-0.8148148
0.0325,-2,5.4074074,42.4444444,27.6296296,35.037037,-0.94814816,13.86666664,13.86666664,-0.94814816,-0.94814816,-1.36296296,-1.36296296,50.48888894,20.85925924,6.04444444,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0335,-2,-2,20.2222222,5.4074074,-2,6.45925924,-0.94814816,-0.94814816,13.86666664,-0.94814816,-1.36296296,-1.36296296,28.26666664,-1.36296296,-1.36296296,-0.7703704,6.637037,6.637037,6.637037,6.637037,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0345,-2,5.4074074,5.4074074,12.8148148,12.8148148,-0.94814816,-0.94814816,13.86666664,21.27407404,13.86666664,-1.36296296,-1.36296296,13.45185184,-1.36296296,6.04444444,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0355,-2,-2,42.4444444,5.4074074,20.2222222,-0.94814816,-0.94814816,6.45925924,-0.94814816,-0.94814816,6.04444444,-1.36296296,35.67407404,-1.36296296,6.04444444,6.637037,-0.7703704,6.637037,-0.7703704,14.0444444,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0365,-2,-2,35.037037,5.4074074,5.4074074,-0.94814816,6.45925924,6.45925924,-0.94814816,-0.94814816,-1.36296296,6.04444444,-1.36296296,6.04444444,-1.36296296,-0.7703704,6.637037,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
