,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10
0.0005,-2.67137255,17.32862745,-2.67137255,-2.67137255,17.32862745,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-4.1854902,-4.1854902,-4.1854902,-4.1854902,35.8145098,-4.1854902,-4.1854902,-4.1854902,-4.1854902,15.8145098,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039
0.0015,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-4.1854902,15.8145098,-4.1854902,-4.1854902,15.8145098,-4.1854902,-4.1854902,-4.1854902,-4.1854902,-4.1854902,17.40901961,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039
0.0025,-2.67137255,-2.67137255,-2.67137255,17.32862745,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-4.1854902,-4.1854902,-4.1854902,35.8145098,-4.1854902,-4.1854902,-4.1854902,-4.1854902,-4.1854902,-4.1854902,-2.59098039,17.40901961,-2.59098039,-2.59098039,17.40901961,-2.59098039,-2.59098039,-2.59098039,17.40901961,-2.59098039
0.0035,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,16.93647055,17.32862745,-2.67137255,-2.67137255,-4.1854902,15.8145098,-4.1854902,-4.1854902,15.8145098,-4.1854902,-4.1854902,-4.1854902,-4.1854902,-4.1854902,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039
0.0045,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,-2.67137255,36.54431375,-2.67137255,-2.67137255,-2.67137255,-4.1854902,-4.1854902,-4.1854902,-4.1854902,-4.1854902,-4.1854902,35.0301961,75.8145098,35.8145098,55.8145098,-2.59098039,-2.59098039,-2.59098039,-2.59098039,-2.59098039,17.40901961,-2.59098039,17.40901961,17.40901961,17.40901961
0.0055,-2.67137255,-2.67137255,-2.67137255,-2.67137255,77.32862745,-2.67137255,36.54431375,-2.67137255,77.32862745,37.32862745,15.8145098,15.8145098,-4.1854902,35.8145098,15.8145098,-4.1854902,15.4223529,35.8145098,-4.1854902,35.8145098,-2.59098039,-2.59098039,17.01686271,57.40901961,-2.59098039,-2.59098039,36.62470591,17.40901961,17.40901961,17.40901961
0.0065,17.32862745,57.32862745,95.36784315,57.32862745,117.3286275,137.3286275,134.5835295,137.3286275,37.32862745,97.32862745,-4.1854902,15.8145098,-4.1854902,-4.1854902,-4.1854902,15.8145098,-4.1854902,-4.1854902,-4.1854902,15.8145098,17.40901961,-2.59098039,115.0560784,117.4090196,57.40901961,17.40901961,154.2717647,137.4090196,57.40901961,57.40901961
0.0075,257.3286275,237.3286275,114.9756863,97.32862745,137.3286275,57.32862745,134.5835295,117.3286275,137.3286275,157.3286275,-4.1854902,-4.1854902,-4.1854902,15.8145098,55.8145098,-4.1854902,35.0301961,15.8145098,35.8145098,15.8145098,117.4090196,77.40901961,95.44823531,117.4090196,197.4090196,117.4090196,134.6639216,117.4090196,137.4090196,77.40901961
0.0085,177.3286275,117.3286275,56.15215685,37.32862745,177.3286275,157.3286275,154.1913726,177.3286275,77.32862745,157.3286275,-4.1854902,15.8145098,54.6380392,75.8145098,55.8145098,35.8145098,35.0301961,35.8145098,55.8145098,15.8145098,37.40901961,97.40901961,115.0560784,157.4090196,117.4090196,197.4090196,193.487451,117.4090196,217.4090196,117.4090196
0.0095,137.3286275,97.32862745,114.9756863,77.32862745,17.32862745,77.32862745,16.93647055,17.32862745,17.32862745,57.32862745,-4.1854902,35.8145098,35.0301961,75.8145098,35.8145098,15.8145098,54.6380392,-4.1854902,55.8145098,15.8145098,217.4090196,137.4090196,134.6639216,117.4090196,77.40901961,117.4090196,17.01686271,37.40901961,77.40901961,137.4090196
