,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10
0.0295,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,18.04448983,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0305,-2.36367347,37.63632653,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0315,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0325,17.63632653,17.63632653,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0335,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,19.77612248
0.0345,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0355,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0365,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0375,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0385,-2.36367347,-2.36367347,17.63632653,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0395,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0405,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0415,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0425,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0435,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0445,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
