,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10
0.0005,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0015,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.30408163,19.10285718,-1.30530612,-1.30530612,18.69469388,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,19.33714285,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0025,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,19.10285718,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,19.58714286,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,19.33714285,-0.66285715
0.0035,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,19.10285718,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,19.74530615,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0045,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,18.69469388,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0055,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,39.51102038,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,18.69469388,18.69469388,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,19.33714285,19.33714285,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0065,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.30408163,18.30408163,-1.30530612,-1.30530612,-1.30530612,38.69469388,-1.30530612,-1.30530612,18.69469388,38.69469388,38.69469388,18.69469388,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,39.58714286,-0.66285715,-0.66285715,19.33714285,-0.66285715,-0.66285715,-0.66285715,39.33714285,-0.66285715,-0.66285715,19.33714285
0.0075,18.71224493,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.69591837,58.30408163,98.30408163,78.30408163,98.30408163,-1.30530612,-1.30530612,18.69469388,38.69469388,38.69469388,39.51102038,38.69469388,98.69469388,58.69469388,38.69469388,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,60.81163266,19.58714286,19.58714286,39.58714286,19.58714286,-0.66285715,-0.66285715,-0.66285715,-0.66285715,19.33714285,19.74530615,-0.66285715,-0.66285715,19.33714285,59.33714285
0.0085,18.71224493,38.30408163,78.30408163,138.3040816,98.30408163,100.3448979,118.3040816,78.30408163,38.30408163,138.3040816,-1.30530612,18.69469388,58.69469388,38.69469388,78.69469388,19.10285718,38.69469388,-1.30530612,58.69469388,18.69469388,-0.41285714,-0.41285714,19.58714286,19.58714286,-0.41285714,40.40346936,39.58714286,39.58714286,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,59.33714285,19.33714285,-0.66285715,19.33714285,39.33714285,39.33714285,59.33714285
0.0095,39.12040813,78.30408163,198.3040816,198.3040816,98.30408163,181.977551,138.3040816,78.30408163,158.3040816,78.30408163,-1.30530612,38.69469388,18.69469388,58.69469388,38.69469388,100.7355102,78.69469388,-1.30530612,18.69469388,38.69469388,40.40346936,39.58714286,-0.41285714,79.58714286,-0.41285714,40.40346936,39.58714286,39.58714286,19.58714286,19.58714286,19.74530615,19.33714285,59.33714285,59.33714285,59.33714285,19.74530615,59.33714285,59.33714285,-0.66285715,19.33714285
0.0105,100.3448979,158.3040816,98.30408163,158.3040816,138.3040816,141.1612245,158.3040816,238.3040816,38.30408163,78.30408163,80.32734698,58.69469388,78.69469388,58.69469388,38.69469388,-1.30530612,18.69469388,18.69469388,18.69469388,18.69469388,60.81163266,59.58714286,19.58714286,19.58714286,19.58714286,19.99530616,-0.41285714,79.58714286,39.58714286,-0.41285714,121.7861225,79.33714285,99.33714285,19.33714285,99.33714285,40.15346935,-0.66285715,59.33714285,39.33714285,19.33714285
0.0115,39.12040813,78.30408163,58.30408163,78.30408163,58.30408163,79.93673473,118.3040816,78.30408163,58.30408163,38.30408163,80.32734698,58.69469388,18.69469388,-1.30530612,18.69469388,39.51102038,-1.30530612,38.69469388,38.69469388,18.69469388,60.81163266,19.58714286,59.58714286,-0.41285714,-0.41285714,19.99530616,19.58714286,-0.41285714,-0.41285714,-0.41285714,60.56163265,79.33714285,19.33714285,39.33714285,39.33714285,40.15346935,-0.66285715,-0.66285715,-0.66285715,19.33714285
0.0125,39.12040813,18.30408163,78.30408163,38.30408163,98.30408163,120.7530612,98.30408163,98.30408163,158.3040816,118.3040816,59.91918368,-1.30530612,38.69469388,58.69469388,38.69469388,121.1436735,78.69469388,18.69469388,38.69469388,98.69469388,-0.41285714,-0.41285714,19.58714286,19.58714286,39.58714286,19.99530616,59.58714286,19.58714286,-0.41285714,39.58714286,19.74530615,39.33714285,-0.66285715,79.33714285,59.33714285,19.74530615,19.33714285,-0.66285715,39.33714285,-0.66285715
0.0135,59.52857143,38.30408163,38.30408163,18.30408163,58.30408163,39.12040813,118.3040816,58.30408163,58.30408163,98.30408163,19.10285718,-1.30530612,18.69469388,58.69469388,18.69469388,59.91918368,-1.30530612,58.69469388,38.69469388,18.69469388,-0.41285714,19.58714286,-0.41285714,-0.41285714,19.58714286,19.99530616,-0.41285714,-0.41285714,39.58714286,-0.41285714,-0.66285715,-0.66285715,39.33714285,39.33714285,19.33714285,60.56163265,19.33714285,19.33714285,19.33714285,19.33714285
0.0145,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.69591837,-1.69591837,18.30408163,38.30408163,18.30408163,-1.69591837,19.10285718,38.69469388,-1.30530612,38.69469388,38.69469388,19.10285718,58.69469388,18.69469388,-1.30530612,18.69469388,-0.41285714,-0.41285714,-0.41285714,19.58714286,19.58714286,40.40346936,19.58714286,39.58714286,19.58714286,-0.41285714,-0.66285715,-0.66285715,39.33714285,19.33714285,-0.66285715,-0.66285715,39.33714285,19.33714285,19.33714285,39.33714285
0.0155,-1.69591837,-1.69591837,18.30408163,18.30408163,-1.69591837,39.12040813,38.30408163,18.30408163,18.30408163,18.30408163,-1.30530612,18.69469388,-1.30530612,-1.30530612,-1.30530612,19.10285718,-1.30530612,-1.30530612,18.69469388,18.69469388,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,19.58714286,-0.41285714,-0.66285715,-0.66285715,39.33714285,19.33714285,-0.66285715,-0.66285715,19.33714285,-0.66285715,-0.66285715,-0.66285715
0.0165,-1.69591837,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.30530612,-1.30530612,38.69469388,-1.30530612,-1.30530612,19.10285718,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,19.99530616,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,19.33714285,-0.66285715,-0.66285715
0.0175,-1.69591837,-1.69591837,-1.69591837,-1.69591837,38.30408163,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,18.69469388,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,19.33714285
0.0185,-1.69591837,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.30408163,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,18.69469388,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,39.33714285,-0.66285715,-0.66285715
0.0195,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.30530612,-1.30530612,18.69469388,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,19.33714285,-0.66285715,-0.66285715,19.33714285,-0.66285715,19.33714285,39.33714285
0.0205,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.71224493,38.30408163,-1.69591837,18.30408163,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,19.74530615,19.33714285,-0.66285715,-0.66285715,19.33714285
0.0215,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.71224493,-1.69591837,18.30408163,18.30408163,18.30408163,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,39.33714285,-0.66285715,-0.66285715,-0.66285715
0.0225,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.71224493,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,19.33714285
0.0235,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0245,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,18.69469388,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0255,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0265,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0275,-1.69591837,-1.69591837,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0285,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0295,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0305,-1.69591837,-1.69591837,18.30408163,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,18.69469388,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
0.0315,18.71224493,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.69591837,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-1.30530612,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.41285714,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715,-0.66285715
