,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10
0.0005,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.59257162,12.59257162,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,17.76036952,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,19.31655351,-0.29128959
0.0015,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0025,-6.63819758,-6.63819758,-6.63819758,12.96964552,-6.63819758,12.59257162,-6.63819758,51.05411012,-6.63819758,32.57748872,-1.84747358,17.76036952,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0035,-6.63819758,12.96964552,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,17.76036952,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0045,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,12.96964552,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,18.93947961,-0.29128959,-0.29128959,-0.29128959
0.0055,-6.63819758,-6.63819758,-6.63819758,12.96964552,51.05411012,12.59257162,51.05411012,-6.63819758,-6.63819758,32.57748872,-1.84747358,-1.84747358,17.76036952,-1.84747358,17.38329562,55.84483412,17.38329562,17.38329562,17.76036952,17.76036952,-0.29128959,-0.29128959,-0.29128959,19.31655351,18.93947961,-0.29128959,18.93947961,18.93947961,38.92439671,-0.29128959
0.0065,91.40101812,189.4402338,267.8716063,189.4402338,377.977187,262.5925716,301.0541101,262.5925716,267.8716063,209.0480769,17.76036952,37.36821272,56.97605582,37.36821272,-1.84747358,94.30637262,-1.84747358,17.38329562,17.76036952,56.97605582,19.31655351,-0.29128959,19.31655351,78.14008291,18.93947961,-0.29128959,-0.29128959,-0.29128959,-0.29128959,19.31655351
0.0075,169.8323906,130.6167044,248.2637632,130.6167044,224.1310332,166.4387255,166.4387255,147.2079562,169.8323906,111.0088612,37.36821272,56.97605582,-1.84747358,17.76036952,-1.84747358,17.38329562,36.61406492,17.38329562,37.36821272,37.36821272,19.31655351,-0.29128959,19.31655351,38.92439671,-0.29128959,-0.29128959,-0.29128959,-0.29128959,19.31655351,-0.29128959
0.0085,91.40101812,150.2245475,169.8323906,287.4794495,204.9002639,339.5156486,262.5925716,358.7464178,287.4794495,189.4402338,17.76036952,17.76036952,37.36821272,-1.84747358,17.38329562,-1.84747358,17.38329562,-1.84747358,-1.84747358,17.76036952,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0095,228.65592,365.910822,248.2637632,287.4794495,204.9002639,224.1310332,301.0541101,166.4387255,287.4794495,326.6951357,76.58389892,17.76036952,-1.84747358,-1.84747358,17.38329562,-1.84747358,17.38329562,17.38329562,17.76036952,56.97605582,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,18.93947961,18.93947961,-0.29128959,19.31655351,-0.29128959
0.0105,326.6951357,228.65592,130.6167044,405.1265083,185.6694947,204.9002639,243.3618024,185.6694947,91.40101812,71.79317492,17.76036952,56.97605582,37.36821272,17.76036952,55.84483412,75.07560332,17.38329562,55.84483412,17.76036952,37.36821272,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,18.93947961,38.17024891,-0.29128959,19.31655351
0.0115,189.4402338,189.4402338,209.0480769,111.0088612,262.5925716,147.2079562,224.1310332,281.8233409,287.4794495,307.0872926,17.76036952,17.76036952,37.36821272,37.36821272,17.38329562,17.38329562,-1.84747358,36.61406492,37.36821272,17.76036952,-0.29128959,-0.29128959,19.31655351,-0.29128959,-0.29128959,18.93947961,38.17024891,-0.29128959,19.31655351,19.31655351
0.0125,150.2245475,91.40101812,189.4402338,267.8716063,166.4387255,262.5925716,185.6694947,166.4387255,189.4402338,130.6167044,17.76036952,56.97605582,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,36.61406492,17.76036952,37.36821272,19.31655351,-0.29128959,-0.29128959,19.31655351,-0.29128959,-0.29128959,18.93947961,-0.29128959,38.92439671,-0.29128959
0.0135,91.40101812,52.18533182,130.6167044,71.79317492,166.4387255,127.977187,89.51564862,204.9002639,130.6167044,130.6167044,76.58389892,-1.84747358,17.76036952,-1.84747358,17.38329562,17.38329562,-1.84747358,17.38329562,17.76036952,17.76036952,-0.29128959,19.31655351,58.53223981,-0.29128959,-0.29128959,38.17024891,18.93947961,18.93947961,-0.29128959,19.31655351
0.0145,209.0480769,189.4402338,52.18533182,169.8323906,70.28487932,185.6694947,108.7464178,108.7464178,130.6167044,248.2637632,17.76036952,56.97605582,17.76036952,17.76036952,-1.84747358,17.38329562,17.38329562,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,19.31655351,-0.29128959,-0.29128959,-0.29128959,-0.29128959,18.93947961,19.31655351,19.31655351
0.0155,130.6167044,111.0088612,130.6167044,111.0088612,31.82334092,108.7464178,12.59257162,70.28487932,32.57748872,52.18533182,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,17.76036952,17.76036952,-0.29128959,-0.29128959,-0.29128959,19.31655351,-0.29128959,-0.29128959,18.93947961,18.93947961,-0.29128959,19.31655351
0.0165,91.40101812,91.40101812,12.96964552,32.57748872,51.05411012,12.59257162,-6.63819758,31.82334092,32.57748872,32.57748872,17.76036952,17.76036952,-1.84747358,-1.84747358,17.38329562,-1.84747358,-1.84747358,-1.84747358,-1.84747358,37.36821272,38.92439671,-0.29128959,-0.29128959,-0.29128959,-0.29128959,18.93947961,-0.29128959,-0.29128959,19.31655351,19.31655351
0.0175,111.0088612,32.57748872,91.40101812,32.57748872,12.59257162,51.05411012,-6.63819758,12.59257162,32.57748872,-6.63819758,-1.84747358,-1.84747358,-1.84747358,37.36821272,17.38329562,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0185,71.79317492,91.40101812,12.96964552,32.57748872,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.96964552,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,19.31655351,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,19.31655351,-0.29128959
0.0195,32.57748872,111.0088612,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,-6.63819758,-6.63819758,17.76036952,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,37.36821272,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0205,32.57748872,32.57748872,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,19.31655351,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0215,91.40101812,32.57748872,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.96964552,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0225,52.18533182,32.57748872,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,17.76036952,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0235,32.57748872,12.96964552,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0245,12.96964552,12.96964552,12.96964552,-6.63819758,12.59257162,12.59257162,-6.63819758,-6.63819758,12.96964552,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0255,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0265,12.96964552,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0275,32.57748872,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0285,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0295,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.96964552,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0305,12.96964552,12.96964552,-6.63819758,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0315,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0325,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0335,32.57748872,12.96964552,-6.63819758,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0345,-6.63819758,12.96964552,12.96964552,-6.63819758,12.59257162,12.59257162,-6.63819758,12.59257162,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0355,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0365,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0375,-6.63819758,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0385,-6.63819758,-6.63819758,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0395,-6.63819758,-6.63819758,12.96964552,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0405,32.57748872,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.59257162,-6.63819758,12.59257162,-6.63819758,-6.63819758,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,17.38329562,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0415,-6.63819758,-6.63819758,-6.63819758,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0425,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0435,12.96964552,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,19.31655351,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0445,-6.63819758,-6.63819758,-6.63819758,12.96964552,-6.63819758,12.59257162,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0455,12.96964552,-6.63819758,-6.63819758,12.96964552,-6.63819758,-6.63819758,12.59257162,12.59257162,-6.63819758,-6.63819758,-1.84747358,-1.84747358,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0465,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,17.76036952,17.38329562,17.38329562,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0475,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,12.96964552,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0485,12.96964552,-6.63819758,12.96964552,-6.63819758,-6.63819758,12.59257162,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,17.76036952,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
0.0495,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-6.63819758,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,-1.84747358,17.76036952,-1.84747358,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959,-0.29128959
