,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10
0.0005,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,16.57183673,-3.42816327,-3.42816327,-3.42816327,16.57183673,-3.42816327,16.57183673,-3.42816327,-3.42816327,-3.42816327,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142
0.0015,-2.29040817,-2.29040817,17.70959183,-2.29040817,17.70959183,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.61081632,17.38918368,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,17.79734698,-2.61081632,-2.61081632,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-2.13857142,-2.13857142,-2.13857142,-2.13857142,17.86142858,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142
0.0025,-2.29040817,-2.29040817,-2.29040817,-2.29040817,17.70959183,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.61081632,-2.61081632,17.38918368,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,17.38918368,-2.61081632,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,16.57183673,-3.42816327,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142
0.0035,17.70959183,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.61081632,-2.61081632,-2.61081632,-2.61081632,17.38918368,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,16.57183673,-3.42816327,-3.42816327,-3.42816327,16.57183673,-3.42816327,16.57183673,16.98000003,-3.42816327,-3.42816327,-2.13857142,-2.13857142,17.86142858,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142
0.0045,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.29040817,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-3.42816327,-3.42816327,-3.42816327,16.57183673,-3.42816327,16.57183673,-3.42816327,16.98000003,-3.42816327,-3.42816327,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142,-2.13857142
0.0055,-2.29040817,-2.29040817,-2.29040817,-2.29040817,37.70959183,57.70959183,97.70959183,79.34224493,77.70959183,58.93408163,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,-2.61081632,38.20551018,-2.61081632,-2.61081632,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,-3.42816327,37.38816323,-3.42816327,-3.42816327,-2.13857142,-2.13857142,37.86142858,-2.13857142,17.86142858,-2.13857142,17.86142858,-2.13857142,37.86142858,59.08591838
0.0065,-2.29040817,-2.29040817,77.70959183,137.7095918,277.7095918,177.7095918,237.7095918,201.7912245,437.7095918,222.1993877,-2.61081632,-2.61081632,-2.61081632,77.38918368,-2.61081632,57.38918368,-2.61081632,58.61367348,57.38918368,38.20551018,-3.42816327,-3.42816327,36.57183673,76.57183673,116.5718367,36.57183673,116.5718367,16.98000003,16.57183673,37.38816323,-2.13857142,-2.13857142,-2.13857142,157.8614286,97.86142858,57.86142858,37.86142858,99.90224488,77.86142858,79.49408168
0.0075,57.70959183,37.70959183,157.7095918,77.70959183,197.7095918,197.7095918,177.7095918,181.3830612,137.7095918,160.9748979,-2.61081632,17.38918368,37.38918368,-2.61081632,-2.61081632,37.38918368,17.38918368,17.79734698,37.38918368,-2.61081632,16.57183673,-3.42816327,16.57183673,36.57183673,16.57183673,56.57183673,36.57183673,-3.42816327,96.57183673,98.61265303,-2.13857142,37.86142858,137.8614286,57.86142858,97.86142858,-2.13857142,77.86142858,99.90224488,37.86142858,18.26959188
0.0085,37.70959183,97.70959183,117.7095918,197.7095918,117.7095918,237.7095918,117.7095918,160.9748979,137.7095918,79.34224493,-2.61081632,57.38918368,-2.61081632,57.38918368,-2.61081632,17.38918368,17.38918368,38.20551018,-2.61081632,38.20551018,-3.42816327,36.57183673,36.57183673,56.57183673,96.57183673,16.57183673,36.57183673,16.98000003,56.57183673,37.38816323,17.86142858,57.86142858,77.86142858,77.86142858,117.8614286,97.86142858,37.86142858,59.08591838,97.86142858,140.7185715
0.0095,37.70959183,77.70959183,117.7095918,137.7095918,17.70959183,37.70959183,17.70959183,18.11775513,37.70959183,99.75040813,17.38918368,37.38918368,17.38918368,57.38918368,37.38918368,-2.61081632,77.38918368,58.61367348,-2.61081632,-2.61081632,36.57183673,16.57183673,36.57183673,56.57183673,76.57183673,-3.42816327,36.57183673,16.98000003,16.57183673,37.38816323,-2.13857142,37.86142858,-2.13857142,17.86142858,37.86142858,37.86142858,17.86142858,18.26959188,77.86142858,59.08591838
