,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10
0.0005,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
0.0015,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,18.08795922,-2.32020408,18.08795922,-2.32020408,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
0.0025,-2.32020408,-2.32020408,-2.32020408,-2.32020408,17.67979592,-2.32020408,-2.32020408,-2.32020408,-2.32020408,17.67979592,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
0.0035,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,17.67979592,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
0.0045,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,18.08795922,17.67979592,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
0.0055,17.67979592,-2.32020408,-2.32020408,-2.32020408,17.67979592,18.08795922,-2.32020408,-2.32020408,-2.32020408,17.67979592,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
0.0065,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
0.0075,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,37.67979592,-2.32020408,17.67979592,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
0.0085,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,-2.32020408,37.67979592,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
0.0095,-2.32020408,-2.32020408,-2.32020408,-2.32020408,37.67979592,-2.32020408,-2.32020408,17.67979592,18.08795922,17.67979592,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122,-0.37306122
