,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10
0.0005,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.16020408,-3.16020408,-3.16020408,16.83979592,-3.16020408,17.24795922,-3.16020408,-3.16020408,-3.16020408,17.24795922,-3.15081632,-3.15081632,-3.15081632,-3.15081632,16.84918368,17.25734698,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-1.19448978,-1.19448978,-1.19448978,-1.19448978,18.80551022,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.46918367,18.93897963,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,18.26897963,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367
0.0015,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.16020408,-3.16020408,17.24795922,16.83979592,-3.16020408,-3.16020408,-3.16020408,17.24795922,-3.16020408,-3.16020408,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,16.84918368,-3.15081632,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367
0.0025,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,17.16612247,-3.24204083,-3.24204083,-3.24204083,17.16612247,-3.16020408,-3.16020408,17.24795922,-3.16020408,-3.16020408,-3.16020408,-3.16020408,-3.16020408,-3.16020408,-3.16020408,-3.15081632,-3.15081632,-3.15081632,-3.15081632,16.84918368,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.46918367,18.93897963,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,18.93897963,-2.13918367,18.26897963,18.26897963,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367
0.0035,-3.24204083,-3.24204083,-3.24204083,-3.24204083,36.75795917,17.16612247,-3.24204083,-3.24204083,-3.24204083,-3.24204083,17.24795922,-3.16020408,-3.16020408,16.83979592,-3.16020408,-3.16020408,-3.16020408,-3.16020408,-3.16020408,-3.16020408,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367
0.0045,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,17.16612247,-3.24204083,-3.24204083,-3.16020408,-3.16020408,-3.16020408,-3.16020408,36.83979592,17.24795922,-3.16020408,-3.16020408,16.83979592,-3.16020408,-3.15081632,-3.15081632,-3.15081632,-3.15081632,16.84918368,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-1.19448978,-1.19448978,-1.19448978,-1.19448978,18.80551022,-1.19448978,-1.19448978,-1.19448978,-1.19448978,19.21367352,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,18.93897963,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367,-2.13918367
0.0055,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.24204083,-3.16020408,-3.16020408,17.24795922,-3.16020408,-3.16020408,-3.16020408,-3.16020408,-3.16020408,-3.16020408,37.65612242,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,-3.15081632,16.84918368,-3.15081632,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.46918367,-1.46918367,18.93897963,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-1.46918367,-2.13918367,-2.13918367,18.26897963,-2.13918367,-2.13918367,-2.13918367,18.26897963,18.26897963,-2.13918367,-2.13918367
0.0065,-3.24204083,-3.24204083,-3.24204083,36.75795917,16.75795917,57.98244897,57.98244897,98.79877547,76.75795917,98.79877547,-3.16020408,-3.16020408,17.24795922,-3.16020408,16.83979592,17.24795922,17.24795922,37.65612242,-3.16020408,17.24795922,-3.15081632,-3.15081632,-3.15081632,-3.15081632,16.84918368,-3.15081632,37.66551018,-3.15081632,-3.15081632,37.66551018,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,-1.19448978,18.93897963,-1.46918367,-1.46918367,18.53081633,-1.46918367,-1.46918367,39.34714283,-1.46918367,-1.46918367,-1.46918367,-2.13918367,-2.13918367,59.08530613,77.86081633,17.86081633,-2.13918367,59.08530613,59.08530613,137.8608163,79.49346943
0.0075,37.57428567,57.98244897,37.57428567,36.75795917,56.75795917,78.39061227,17.16612247,-3.24204083,36.75795917,98.79877547,37.65612242,-3.16020408,17.24795922,-3.16020408,16.83979592,37.65612242,17.24795922,17.24795922,16.83979592,-3.16020408,-3.15081632,-3.15081632,17.25734698,76.84918368,16.84918368,119.2981633,37.66551018,37.66551018,56.84918368,78.48183678,-1.19448978,-1.19448978,19.21367352,18.80551022,-1.19448978,19.21367352,60.03000002,19.21367352,38.80551022,60.03000002,18.93897963,18.93897963,18.93897963,-1.46918367,18.53081633,-1.46918367,39.34714283,18.93897963,-1.46918367,39.34714283,38.67714283,99.90163263,38.67714283,17.86081633,37.86081633,18.26897963,18.26897963,38.67714283,-2.13918367,18.26897963
0.0085,37.57428567,17.16612247,-3.24204083,36.75795917,16.75795917,78.39061227,-3.24204083,17.16612247,96.75795917,57.98244897,17.24795922,17.24795922,17.24795922,-3.16020408,-3.16020408,17.24795922,17.24795922,78.47244902,-3.16020408,17.24795922,17.25734698,-3.15081632,58.07367348,96.84918368,96.84918368,119.2981633,262.1553061,221.3389796,136.8491837,200.9308164,-1.19448978,19.21367352,60.03000002,-1.19448978,38.80551022,60.03000002,39.62183672,19.21367352,138.8055102,-1.19448978,18.93897963,-1.46918367,-1.46918367,-1.46918367,18.53081633,18.93897963,-1.46918367,-1.46918367,-1.46918367,-1.46918367,38.67714283,38.67714283,38.67714283,17.86081633,97.86081633,-2.13918367,18.26897963,18.26897963,-2.13918367,-2.13918367
0.0095,57.98244897,78.39061227,78.39061227,56.75795917,56.75795917,78.39061227,57.98244897,57.98244897,56.75795917,98.79877547,-3.16020408,37.65612242,17.24795922,56.83979592,16.83979592,17.24795922,17.24795922,37.65612242,-3.16020408,-3.16020408,17.25734698,37.66551018,139.7063266,76.84918368,76.84918368,37.66551018,37.66551018,17.25734698,116.8491837,37.66551018,-1.19448978,-1.19448978,19.21367352,58.80551022,-1.19448978,39.62183672,39.62183672,19.21367352,18.80551022,-1.19448978,-1.46918367,-1.46918367,59.75530613,-1.46918367,-1.46918367,-1.46918367,18.93897963,-1.46918367,-1.46918367,18.93897963,99.90163263,18.26897963,18.26897963,37.86081633,17.86081633,-2.13918367,18.26897963,-2.13918367,17.86081633,38.67714283
