,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.0105,67.54666666,124.8015687,127.5466667,65.97803916,87.54666666,167.5466667,127.5466667,227.5466667,67.54666666,27.54666666,38.54372549,18.15156859,-1.45627451,-1.45627451,-1.45627451,18.54372549,18.54372549,58.54372549,-1.45627451,-1.45627451,-1.03588236,38.17980394,-1.03588236,18.57196074,-1.03588236,18.96411764,18.96411764,18.96411764,18.96411764,38.96411764,8.86607843,67.29745093,8.86607843,47.68960783,88.86607843,68.86607843,-11.13392157,8.86607843,28.86607843,48.86607843,57.94490196,95.98411766,77.94490196,37.16058826,17.94490196,57.94490196,37.94490196,17.94490196,-2.05509804,57.94490196,17.85529411,56.67882351,57.85529411,37.07098041,77.85529411,97.85529411,77.85529411,17.85529411,-2.14470589,57.85529411,38.9427451,18.5505882,38.9427451,18.5505882,78.9427451,38.9427451,18.9427451,-1.0572549,18.9427451,-1.0572549
0.0115,287.5466667,144.4094118,147.5466667,183.6250981,147.5466667,147.5466667,67.54666666,187.5466667,187.5466667,107.5466667,18.54372549,-1.45627451,38.54372549,18.15156859,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,18.54372549,18.96411764,18.57196074,-1.03588236,18.57196074,-1.03588236,-1.03588236,18.96411764,18.96411764,18.96411764,-1.03588236,8.86607843,67.29745093,88.86607843,28.08176473,48.86607843,48.86607843,108.8660784,48.86607843,-11.13392157,48.86607843,77.94490196,37.16058826,-2.05509804,37.16058826,-2.05509804,37.94490196,-2.05509804,17.94490196,17.94490196,37.94490196,17.85529411,17.46313721,17.85529411,95.89450981,17.85529411,57.85529411,37.85529411,37.85529411,-2.14470589,57.85529411,18.9427451,-1.0572549,-1.0572549,18.5505882,38.9427451,18.9427451,-1.0572549,18.9427451,18.9427451,-1.0572549
0.0125,47.54666666,65.97803916,127.5466667,46.37019606,87.54666666,47.54666666,107.5466667,47.54666666,47.54666666,87.54666666,-1.45627451,-1.45627451,-1.45627451,-1.45627451,18.54372549,-1.45627451,18.54372549,-1.45627451,-1.45627451,-1.45627451,-1.03588236,18.57196074,18.96411764,38.17980394,18.96411764,38.96411764,18.96411764,38.96411764,-1.03588236,-1.03588236,28.86607843,47.68960783,8.86607843,28.08176473,68.86607843,28.86607843,8.86607843,88.86607843,48.86607843,8.86607843,17.94490196,17.55274506,17.94490196,17.55274506,-2.05509804,-2.05509804,-2.05509804,-2.05509804,17.94490196,-2.05509804,97.85529411,37.07098041,37.85529411,-2.14470589,17.85529411,-2.14470589,-2.14470589,17.85529411,-2.14470589,17.85529411,18.9427451,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,38.9427451,-1.0572549,38.9427451,18.9427451
0.0135,47.54666666,26.76235296,67.54666666,26.76235296,27.54666666,27.54666666,27.54666666,27.54666666,87.54666666,47.54666666,-1.45627451,-1.45627451,-1.45627451,18.15156859,18.54372549,58.54372549,-1.45627451,-1.45627451,18.54372549,-1.45627451,-1.03588236,18.57196074,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,18.96411764,-1.03588236,8.86607843,8.47392153,8.86607843,-11.13392157,8.86607843,8.86607843,28.86607843,8.86607843,8.86607843,-11.13392157,17.94490196,17.55274506,-2.05509804,17.55274506,-2.05509804,57.94490196,17.94490196,17.94490196,17.94490196,-2.05509804,-2.14470589,-2.14470589,-2.14470589,17.46313721,17.85529411,57.85529411,37.85529411,17.85529411,-2.14470589,-2.14470589,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,18.9427451,-1.0572549,-1.0572549,-1.0572549,-1.0572549
0.0145,67.54666666,46.37019606,47.54666666,85.58588236,27.54666666,67.54666666,87.54666666,27.54666666,87.54666666,47.54666666,-1.45627451,18.15156859,-1.45627451,-1.45627451,-1.45627451,18.54372549,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,18.96411764,-1.03588236,-1.03588236,-1.03588236,48.86607843,8.47392153,8.86607843,28.08176473,8.86607843,28.86607843,8.86607843,28.86607843,-11.13392157,8.86607843,17.94490196,-2.05509804,-2.05509804,-2.05509804,57.94490196,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,17.85529411,-2.14470589,-2.14470589,17.46313721,-2.14470589,17.85529411,17.85529411,-2.14470589,-2.14470589,37.85529411,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,38.9427451,-1.0572549,-1.0572549,-1.0572549,-1.0572549
0.0155,47.54666666,46.37019606,27.54666666,26.76235296,87.54666666,107.5466667,27.54666666,107.5466667,27.54666666,67.54666666,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,38.54372549,18.54372549,18.54372549,18.54372549,-1.45627451,-1.03588236,-1.03588236,-1.03588236,18.57196074,18.96411764,-1.03588236,-1.03588236,18.96411764,18.96411764,-1.03588236,48.86607843,-11.13392157,8.86607843,8.47392153,8.86607843,28.86607843,8.86607843,28.86607843,48.86607843,-11.13392157,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,17.94490196,17.94490196,17.94490196,-2.05509804,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,57.85529411,-2.14470589,-2.14470589,17.85529411,17.85529411,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,18.9427451,-1.0572549,-1.0572549,18.9427451,-1.0572549
0.0165,-12.45333334,46.37019606,7.54666666,-12.45333334,107.5466667,87.54666666,47.54666666,67.54666666,67.54666666,27.54666666,-1.45627451,-1.45627451,18.54372549,-1.45627451,-1.45627451,18.54372549,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.03588236,18.57196074,18.96411764,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,18.96411764,-11.13392157,-11.13392157,8.86607843,47.68960783,8.86607843,-11.13392157,8.86607843,-11.13392157,-11.13392157,8.86607843,17.94490196,-2.05509804,-2.05509804,17.55274506,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,17.85529411,-2.14470589,-2.14470589,17.46313721,-2.14470589,17.85529411,-2.14470589,37.85529411,-2.14470589,17.85529411,-1.0572549,-1.0572549,-1.0572549,-1.0572549,18.9427451,-1.0572549,-1.0572549,18.9427451,-1.0572549,-1.0572549
0.0175,7.54666666,46.37019606,7.54666666,7.15450976,7.54666666,87.54666666,-12.45333334,27.54666666,27.54666666,-12.45333334,-1.45627451,-1.45627451,-1.45627451,18.15156859,-1.45627451,-1.45627451,38.54372549,-1.45627451,-1.45627451,-1.45627451,18.96411764,18.57196074,58.96411764,-1.03588236,-1.03588236,18.96411764,-1.03588236,-1.03588236,-1.03588236,18.96411764,-11.13392157,8.47392153,28.86607843,8.47392153,8.86607843,-11.13392157,28.86607843,48.86607843,8.86607843,8.86607843,17.94490196,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.14470589,-2.14470589,-2.14470589,-2.14470589,17.85529411,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549
0.0185,7.54666666,7.15450976,7.54666666,26.76235296,47.54666666,47.54666666,-12.45333334,27.54666666,47.54666666,7.54666666,-1.45627451,-1.45627451,-1.45627451,18.15156859,-1.45627451,-1.45627451,18.54372549,-1.45627451,-1.45627451,-1.45627451,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,18.96411764,-1.03588236,-1.03588236,-1.03588236,-11.13392157,-11.13392157,8.86607843,-11.13392157,-11.13392157,-11.13392157,-11.13392157,8.86607843,-11.13392157,28.86607843,-2.05509804,-2.05509804,-2.05509804,17.55274506,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.14470589,17.46313721,-2.14470589,17.46313721,17.85529411,17.85529411,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,18.9427451
0.0195,7.54666666,7.15450976,7.54666666,46.37019606,-12.45333334,87.54666666,-12.45333334,-12.45333334,7.54666666,27.54666666,-1.45627451,-1.45627451,-1.45627451,-1.45627451,18.54372549,-1.45627451,-1.45627451,-1.45627451,18.54372549,-1.45627451,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,8.86607843,-11.13392157,8.86607843,8.47392153,8.86607843,28.86607843,-11.13392157,-11.13392157,28.86607843,-11.13392157,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,17.85529411,-2.14470589,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549
