,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10
0.0165,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,20.05408168,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,13.08775511,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0175,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,19.25571431,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0185,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0195,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0205,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0215,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0225,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0235,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0245,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0255,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
