,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10
0.0005,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,15.53623607,-1.41291643,-1.41291643,15.82846287,-1.41291643,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359
0.0015,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,16.36206891,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359
0.0025,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359
0.0035,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,16.36206891,16.36206891,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359
0.0045,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,-1.41291643,15.53623607,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.58708359,-0.58708359,-0.58708359,16.36206891,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359
0.0055,15.53623607,-1.41291643,-1.41291643,-1.41291643,-1.41291643,15.53623607,15.53623607,15.53623607,15.82846287,15.53623607,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,-0.28901228,16.66014022,-0.58708359,-0.58708359,-0.58708359,-0.58708359,-0.58708359,50.26037401,16.36206891,-0.58708359,-0.58708359,16.36206891
0.0065,-1.41291643,-1.41291643,-1.41291643,49.43454117,100.2819989,83.33284627,66.38369377,83.33284627,153.7594974,66.38369377,-0.28901228,-0.28901228,16.95236702,16.66014022,16.66014022,-0.28901228,33.60929282,16.66014022,34.19374632,16.66014022,-0.58708359,-0.58708359,-0.58708359,33.31122151,16.36206891,151.9552893,151.9552893,151.9552893,68.37843361,84.15867911
0.0075,-1.41291643,-1.41291643,15.82846287,117.2311514,32.48538867,15.53623607,49.43454117,117.2311514,50.31122147,151.1294565,-0.28901228,-0.28901228,-0.28901228,-0.28901228,16.66014022,16.66014022,16.66014022,16.66014022,51.43512562,33.60929282,-0.58708359,-0.58708359,33.89567501,135.0061367,118.0569842,118.0569842,16.36206891,50.26037401,102.8611923,50.26037401
0.0085,-1.41291643,32.48538867,102.0353595,66.38369377,151.1294565,151.1294565,185.0277616,185.0277616,222.7250146,168.078609,-0.28901228,50.55844532,51.43512562,33.60929282,84.45675042,135.304208,220.0499708,203.1008182,292.814436,135.304208,33.31122151,16.36206891,120.1025716,84.15867911,50.26037401,50.26037401,84.15867911,101.1078317,68.37843361,84.15867911
0.0095,66.38369377,185.0277616,153.7594974,185.0277616,151.1294565,185.0277616,117.2311514,49.43454117,50.31122147,83.33284627,50.55844532,50.55844532,68.67650492,152.2533606,169.2025131,84.45675042,84.45675042,84.45675042,103.1592636,84.45675042,16.36206891,101.1078317,154.5853302,101.1078317,50.26037401,67.20952661,67.20952661,50.26037401,-0.58708359,50.26037401
