,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10
0.0005,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843
0.0015,-0.52745098,-0.52745098,-0.52745098,19.47254902,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,19.73117647,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843
0.0025,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,19.08039212,19.50058824,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843
0.0035,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,19.10843134,19.09196078,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843
0.0045,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843
0.0055,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.90803922,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.32921568,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843,-0.90607843
0.0065,-0.52745098,-0.52745098,19.08039212,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,-0.52745098,19.08039212,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.49941176,-0.90803922,-0.90803922,-0.90803922,39.09196078,19.09196078,19.09196078,-0.90803922,-0.90803922,39.09196078,-0.90803922,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.32921568,-0.32921568,-0.32921568,-0.32921568,19.67078432,-0.32921568,19.67078432,-0.32921568,-0.32921568,-0.32921568,-0.90607843,39.09392157,-0.90607843,39.09392157,-0.90607843,-0.90607843,-0.90607843,19.09392157,-0.90607843,-0.90607843
0.0075,-0.52745098,-0.52745098,-0.52745098,19.47254902,19.47254902,-0.52745098,19.47254902,-0.52745098,19.47254902,38.68823532,-0.49941176,-0.49941176,-0.49941176,19.50058824,-0.49941176,19.50058824,-0.49941176,19.50058824,-0.49941176,-0.49941176,-0.90803922,19.09196078,38.30764708,59.09196078,79.09196078,119.0919608,59.09196078,79.09196078,39.09196078,97.13117648,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,-0.26882353,19.73117647,-0.26882353,-0.26882353,-0.26882353,-0.32921568,-0.32921568,-0.32921568,-0.32921568,19.67078432,19.67078432,-0.32921568,19.67078432,19.67078432,-0.32921568,-0.90607843,-0.90607843,18.70176467,19.09392157,19.09392157,-0.90607843,19.09392157,19.09392157,39.09392157,-0.90607843
0.0085,-0.52745098,-0.52745098,38.68823532,79.47254902,99.47254902,-0.52745098,-0.52745098,59.47254902,19.47254902,19.08039212,-0.49941176,39.50058824,19.10843134,19.50058824,19.50058824,59.50058824,99.50058824,-0.49941176,99.50058824,58.32411764,-0.90803922,79.09196078,97.13117648,79.09196078,99.09196078,159.0919608,179.0919608,119.0919608,139.0919608,155.9547059,-0.26882353,19.73117647,-0.26882353,39.73117647,39.73117647,39.73117647,19.73117647,59.73117647,59.73117647,38.94686277,19.67078432,-0.32921568,19.27862742,39.67078432,59.67078432,39.67078432,39.67078432,99.67078432,79.67078432,38.88647062,19.09392157,139.0939216,77.52529407,19.09392157,39.09392157,39.09392157,119.0939216,59.09392157,39.09392157,57.91745097
0.0095,-0.52745098,19.47254902,19.08039212,-0.52745098,39.47254902,19.47254902,19.47254902,59.47254902,-0.52745098,38.68823532,-0.49941176,19.50058824,58.32411764,19.50058824,59.50058824,39.50058824,19.50058824,19.50058824,-0.49941176,-0.49941176,79.09196078,179.0919608,195.1703922,119.0919608,119.0919608,99.09196078,99.09196078,139.0919608,59.09196078,116.7390196,-0.26882353,39.73117647,19.33901957,99.73117647,39.73117647,79.73117647,99.73117647,19.73117647,59.73117647,38.94686277,-0.32921568,59.67078432,97.71000002,79.67078432,79.67078432,119.6707843,139.6707843,59.67078432,119.6707843,78.10215682,19.09392157,19.09392157,57.91745097,39.09392157,59.09392157,19.09392157,39.09392157,19.09392157,19.09392157,18.70176467
