,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.0005,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-1.37571428,-1.37571428,-1.37571428,-1.37571428,19.03244902,19.03244902,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,18.56653061,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877
0.0015,-3.54306123,16.45693877,16.45693877,-3.54306123,-3.54306123,16.86510207,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-1.37571428,-1.37571428,-1.37571428,-1.37571428,19.03244902,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877
0.0025,-3.54306123,-3.54306123,-3.54306123,16.86510207,-3.54306123,-3.54306123,16.86510207,-3.54306123,-3.54306123,-3.54306123,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-1.37571428,-1.37571428,-1.37571428,19.03244902,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.4965306,-1.4965306,-1.4965306,-1.4965306,18.9116327,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-0.05081632,19.94918368,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,18.60306123
0.0035,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-2.12551021,-2.12551021,-2.12551021,-2.12551021,38.69081629,18.28265309,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-1.37571428,18.62428572,-1.37571428,-1.37571428,19.03244902,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.4965306,-1.4965306,18.5034694,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,-1.43346939,-1.43346939,18.97469391,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877
0.0045,-3.54306123,16.45693877,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,16.45693877,-3.54306123,-2.12551021,-2.12551021,-2.12551021,-2.12551021,18.28265309,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,19.03244902,-1.37571428,-1.37571428,-1.37571428,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,18.56653061,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877
0.0055,-3.54306123,-3.54306123,16.45693877,-3.54306123,16.86510207,-3.54306123,-3.54306123,-3.54306123,-3.54306123,16.45693877,-2.12551021,17.87448979,-2.12551021,18.28265309,18.28265309,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-1.37571428,-1.37571428,-1.37571428,19.03244902,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,18.9116327,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,-1.43346939,-1.43346939,-1.43346939,18.97469391,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.39693877,18.60306123,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877
0.0065,-3.54306123,16.45693877,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,-3.54306123,16.45693877,-2.12551021,-2.12551021,-2.12551021,-2.12551021,-2.12551021,18.28265309,-2.12551021,-2.12551021,-2.12551021,-2.12551021,19.03244902,-1.37571428,-1.37571428,19.03244902,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,18.9116327,-1.4965306,18.5034694,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,18.56653061,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877
0.0075,-3.54306123,-3.54306123,16.45693877,-3.54306123,37.27326527,-3.54306123,-3.54306123,-3.54306123,16.45693877,36.45693877,-2.12551021,-2.12551021,-2.12551021,18.28265309,-2.12551021,-2.12551021,-2.12551021,38.69081629,57.87448979,37.87448979,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,18.62428572,-1.4965306,-1.4965306,-1.4965306,18.9116327,18.9116327,-1.4965306,-1.4965306,-1.4965306,-1.4965306,58.5034694,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,18.97469391,-1.43346939,-1.43346939,18.56653061,-1.39693877,-1.39693877,-1.39693877,-1.39693877,19.01122453,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877
0.0085,-3.54306123,-3.54306123,-3.54306123,16.86510207,-3.54306123,-3.54306123,16.86510207,-3.54306123,-3.54306123,16.45693877,-2.12551021,-2.12551021,-2.12551021,38.69081629,-2.12551021,-2.12551021,38.69081629,18.28265309,-2.12551021,-2.12551021,19.03244902,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,19.03244902,18.62428572,18.62428572,-1.4965306,-1.4965306,-1.4965306,-1.4965306,-1.4965306,18.9116327,18.9116327,-1.4965306,-1.4965306,-1.4965306,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,18.56653061,-1.43346939,-1.39693877,-1.39693877,-1.39693877,19.01122453,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877
0.0095,-3.54306123,16.45693877,16.45693877,-3.54306123,37.27326527,-3.54306123,-3.54306123,-3.54306123,-3.54306123,36.45693877,-2.12551021,17.87448979,-2.12551021,18.28265309,-2.12551021,-2.12551021,-2.12551021,-2.12551021,17.87448979,97.87448979,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,-1.37571428,38.62428572,-1.4965306,-1.4965306,-1.4965306,18.9116327,18.9116327,-1.4965306,39.3197959,18.9116327,18.5034694,38.5034694,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-0.05081632,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,-1.43346939,18.97469391,38.56653061,-1.43346939,-1.39693877,-1.39693877,-1.39693877,19.01122453,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877,-1.39693877
