,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10
0.0205,-0.63019608,-0.63019608,-0.63019608,58.19333332,59.36980392,18.97764702,58.19333332,18.97764702,19.36980392,38.58549022,-0.54176471,19.06607839,-0.54176471,19.06607839,-0.54176471,19.06607839,-0.54176471,-0.54176471,-0.54176471,-0.54176471,18.86941173,-0.73843137,58.08509803,-0.73843137,99.26156863,-0.73843137,38.47725493,58.08509803,39.26156863,38.47725493,-0.7680392,38.4476471,38.4476471,18.8398039,19.2319608,58.0554902,38.4476471,-0.7680392,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0215,58.19333332,77.80117642,38.58549022,38.58549022,39.36980392,18.97764702,18.97764702,18.97764702,19.36980392,18.97764702,-0.54176471,77.88960779,-0.54176471,19.06607839,-0.54176471,-0.54176471,38.67392159,-0.54176471,19.45823529,-0.54176471,18.86941173,38.47725493,58.08509803,38.47725493,-0.73843137,-0.73843137,38.47725493,-0.73843137,-0.73843137,38.47725493,-0.7680392,18.8398039,58.0554902,38.4476471,-0.7680392,-0.7680392,-0.7680392,18.8398039,-0.7680392,18.8398039,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0225,77.80117642,18.97764702,58.19333332,38.58549022,-0.63019608,38.58549022,18.97764702,18.97764702,-0.63019608,-0.63019608,-0.54176471,19.06607839,19.06607839,19.06607839,-0.54176471,19.06607839,-0.54176471,-0.54176471,19.45823529,-0.54176471,-0.73843137,38.47725493,-0.73843137,58.08509803,19.26156863,77.69294113,58.08509803,-0.73843137,19.26156863,18.86941173,58.0554902,18.8398039,18.8398039,-0.7680392,19.2319608,-0.7680392,38.4476471,38.4476471,19.2319608,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0235,-0.63019608,38.58549022,38.58549022,58.19333332,39.36980392,18.97764702,38.58549022,-0.63019608,-0.63019608,-0.63019608,38.67392159,19.06607839,-0.54176471,-0.54176471,19.45823529,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,18.86941173,18.86941173,-0.73843137,58.08509803,19.26156863,38.47725493,-0.73843137,18.86941173,-0.73843137,-0.73843137,18.8398039,-0.7680392,18.8398039,58.0554902,59.2319608,-0.7680392,38.4476471,18.8398039,19.2319608,-0.7680392,19.40078428,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0245,38.58549022,18.97764702,38.58549022,38.58549022,39.36980392,-0.63019608,18.97764702,18.97764702,-0.63019608,-0.63019608,38.67392159,-0.54176471,58.28176469,-0.54176471,-0.54176471,19.06607839,-0.54176471,-0.54176471,-0.54176471,19.06607839,18.86941173,116.9086274,38.47725493,77.69294113,39.26156863,18.86941173,-0.73843137,-0.73843137,-0.73843137,18.86941173,18.8398039,156.0947059,97.2711765,38.4476471,59.2319608,-0.7680392,-0.7680392,18.8398039,-0.7680392,-0.7680392,-0.20705882,19.40078428,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0255,58.19333332,-0.63019608,18.97764702,-0.63019608,19.36980392,-0.63019608,18.97764702,18.97764702,19.36980392,-0.63019608,38.67392159,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,136.5164706,58.08509803,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,19.26156863,-0.73843137,38.4476471,58.0554902,18.8398039,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,38.4476471,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0265,18.97764702,18.97764702,18.97764702,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,18.97764702,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,19.06607839,58.08509803,18.86941173,-0.73843137,-0.73843137,-0.73843137,-0.73843137,18.86941173,18.86941173,19.26156863,18.86941173,77.6633333,38.4476471,58.0554902,38.4476471,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,39.00862748,19.40078428,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0275,-0.63019608,-0.63019608,-0.63019608,-0.63019608,19.36980392,-0.63019608,-0.63019608,-0.63019608,-0.63019608,18.97764702,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,19.06607839,-0.54176471,-0.54176471,18.86941173,18.86941173,-0.73843137,-0.73843137,-0.73843137,-0.73843137,18.86941173,18.86941173,19.26156863,18.86941173,38.4476471,18.8398039,58.0554902,-0.7680392,-0.7680392,-0.7680392,18.8398039,-0.7680392,-0.7680392,18.8398039,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0285,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,19.36980392,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,18.86941173,-0.73843137,-0.73843137,18.86941173,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0295,-0.63019608,-0.63019608,-0.63019608,-0.63019608,19.36980392,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.73843137,-0.73843137,18.86941173,-0.73843137,-0.73843137,-0.73843137,18.86941173,-0.73843137,39.26156863,18.86941173,18.8398039,-0.7680392,18.8398039,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,19.2319608,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
