,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5,f08_stimulus_6,f08_stimulus_7,f08_stimulus_8,f08_stimulus_9,f08_stimulus_10
0.0005,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-1.87489795,-1.87489795,18.12510205,-1.87489795,18.12510205,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-0.21285713,20.19530617,-0.21285713,-0.21285713,-0.21285713,-0.21285713,20.19530617,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,18.49040816,-1.50959184,-1.50959184,-1.50959184,-1.50959184
0.0015,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-1.87489795,-1.87489795,18.12510205,18.53326535,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-0.21285713,-0.21285713,19.78714287,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-1.50959184,-1.50959184,-1.50959184,18.89857146,-1.50959184,-1.50959184,18.89857146,-1.50959184,-1.50959184,-1.50959184
0.0025,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-1.87489795,-1.87489795,-1.87489795,-1.87489795,18.12510205,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,20.22571432,18.89857146,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184
0.0035,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.37755101,-1.37755101,18.62244899,-1.37755101,-1.37755101,18.62244899,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-0.59857142,19.80959188,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-1.87489795,-1.87489795,18.12510205,-1.87489795,-1.87489795,-1.87489795,-1.87489795,18.53326535,-1.87489795,-1.87489795,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184
0.0045,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,20.01265311,-0.39551019,-0.39551019,-1.87489795,-1.87489795,-1.87489795,-1.87489795,18.12510205,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184
0.0055,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,18.49040816,-1.50959184,-1.50959184,-1.50959184,-1.50959184
0.0065,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,18.53326535,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,18.53326535,-1.87489795,-1.87489795,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184
0.0075,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,18.97795918,-1.02204082,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,19.60448981,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184
0.0085,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,19.03061229,-1.37755101,-1.37755101,-1.37755101,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,18.53326535,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,20.19530617,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,18.89857146,-1.50959184,-1.50959184,-1.50959184,-1.50959184,-1.50959184,39.30673466,-1.50959184,-1.50959184,-1.50959184
0.0095,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,-1.02204082,19.38612248,-1.02204082,-1.02204082,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-1.37755101,-0.59857142,19.80959188,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,-0.59857142,19.40142858,19.80959188,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-0.39551019,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,-1.87489795,38.12510205,38.94142855,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.21285713,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-0.18244898,-1.50959184,18.89857146,-1.50959184,-1.50959184,18.49040816,-1.50959184,-1.50959184,18.89857146,-1.50959184,-1.50959184
