,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5,f08_stimulus_6,f08_stimulus_7,f08_stimulus_8,f08_stimulus_9,f08_stimulus_10
0.0105,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,19.32816327,19.32816327,-0.67183673,19.32816327,39.32816327,-0.15020408,-0.15020408,-0.15020408,-0.15020408,19.84979592,19.84979592,-0.15020408,39.84979592,-0.15020408,-0.15020408,-0.12040816,19.87959184,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,19.87959184,59.87959184,19.87959184,-0.12020408,-0.12020408,20.28795922,19.87979592,39.87979592,39.87979592,-0.12020408,39.87979592,39.87979592,39.87979592,-0.04020408,-0.04020408,-0.04020408,19.95979592,19.95979592,39.95979592,-0.04020408,19.95979592,59.95979592,99.95979592,-0.12020408,-0.12020408,-0.12020408,-0.12020408,19.87979592,-0.12020408,-0.12020408,19.87979592,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,19.99,19.99,19.99,-0.01,19.99,0,0,0,0,0,20,0,0,0,40
0.0115,-0.67183673,-0.67183673,19.73632657,19.32816327,19.32816327,19.32816327,39.32816327,39.32816327,59.32816327,19.32816327,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,19.84979592,39.84979592,19.84979592,39.84979592,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,19.87959184,19.87959184,-0.12040816,39.87959184,-0.12040816,-0.12020408,-0.12020408,20.28795922,39.87979592,-0.12020408,139.8797959,159.8797959,79.87979592,79.87979592,119.8797959,-0.04020408,-0.04020408,-0.04020408,19.95979592,19.95979592,19.95979592,39.95979592,99.95979592,19.95979592,59.95979592,-0.12020408,-0.12020408,20.28795922,19.87979592,19.87979592,-0.12020408,19.87979592,-0.12020408,-0.12020408,19.87979592,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,59.99,39.99,19.99,59.99,0,0,0,20,20,0,20,0,80,40
0.0125,-0.67183673,-0.67183673,19.73632657,39.32816327,59.32816327,59.32816327,39.32816327,39.32816327,39.32816327,-0.67183673,59.84979592,39.84979592,20.25795922,19.84979592,19.84979592,-0.15020408,39.84979592,-0.15020408,19.84979592,59.84979592,-0.12040816,19.87959184,-0.12040816,-0.12040816,19.87959184,19.87959184,19.87959184,39.87959184,19.87959184,79.87959184,-0.12020408,39.87979592,40.69612242,39.87979592,59.87979592,139.8797959,99.87979592,19.87979592,79.87979592,19.87979592,-0.04020408,-0.04020408,-0.04020408,39.95979592,79.95979592,99.95979592,159.9597959,159.9597959,39.95979592,79.95979592,-0.12020408,-0.12020408,-0.12020408,39.87979592,19.87979592,39.87979592,39.87979592,19.87979592,19.87979592,59.87979592,-0.01,39.99,-0.01,39.99,119.99,59.99,79.99,59.99,99.99,119.99,0,0,0,40,40,80,40,20,60,80
0.0135,-0.67183673,19.32816327,60.55265307,19.32816327,59.32816327,59.32816327,39.32816327,39.32816327,19.32816327,19.32816327,19.84979592,19.84979592,20.25795922,39.84979592,-0.15020408,99.84979592,-0.15020408,39.84979592,-0.15020408,59.84979592,-0.12040816,-0.12040816,61.10408164,99.87959184,119.8795918,59.87959184,59.87959184,59.87959184,-0.12040816,99.87959184,-0.12020408,19.87979592,81.51244902,139.8797959,39.87979592,19.87979592,19.87979592,19.87979592,19.87979592,-0.12020408,-0.04020408,39.95979592,122.4087755,59.95979592,119.9597959,39.95979592,59.95979592,59.95979592,39.95979592,-0.04020408,-0.12020408,-0.12020408,40.69612242,19.87979592,59.87979592,19.87979592,59.87979592,39.87979592,39.87979592,59.87979592,-0.01,-0.01,20.3981633,19.99,39.99,39.99,19.99,99.99,99.99,59.99,0,0,20.4081633,40,0,20,0,20,0,0
0.0145,-0.67183673,59.32816327,19.73632657,39.32816327,39.32816327,19.32816327,59.32816327,19.32816327,39.32816327,59.32816327,-0.15020408,39.84979592,40.66612242,19.84979592,-0.15020408,19.84979592,19.84979592,-0.15020408,39.84979592,-0.15020408,-0.12040816,79.87959184,40.69591834,19.87959184,59.87959184,39.87959184,19.87959184,59.87959184,39.87959184,59.87959184,-0.12020408,39.87979592,20.28795922,-0.12020408,19.87979592,19.87979592,19.87979592,-0.12020408,19.87979592,-0.12020408,19.95979592,79.95979592,81.59244902,-0.04020408,39.95979592,-0.04020408,39.95979592,39.95979592,19.95979592,19.95979592,-0.12020408,19.87979592,-0.12020408,59.87979592,-0.12020408,-0.12020408,99.87979592,39.87979592,-0.12020408,99.87979592,-0.01,99.99,61.2144898,59.99,19.99,39.99,39.99,59.99,39.99,-0.01,0,20,40.8163265,20,0,0,0,20,20,20
0.0155,-0.67183673,19.32816327,40.14448977,39.32816327,59.32816327,59.32816327,19.32816327,-0.67183673,59.32816327,39.32816327,-0.15020408,99.84979592,81.48244902,79.84979592,19.84979592,99.84979592,19.84979592,59.84979592,-0.15020408,19.84979592,-0.12040816,39.87959184,81.51224494,19.87959184,79.87959184,79.87959184,-0.12040816,59.87959184,39.87959184,-0.12040816,-0.12020408,59.87979592,61.10428572,-0.12020408,-0.12020408,19.87979592,-0.12020408,-0.12020408,59.87979592,19.87979592,19.95979592,39.95979592,20.36795922,39.95979592,19.95979592,-0.04020408,39.95979592,39.95979592,-0.04020408,59.95979592,-0.12020408,19.87979592,20.28795922,39.87979592,79.87979592,19.87979592,-0.12020408,59.87979592,39.87979592,-0.12020408,-0.01,39.99,20.3981633,-0.01,19.99,19.99,19.99,-0.01,99.99,99.99,0,0,20.4081633,0,20,0,20,40,20,0
0.0165,-0.67183673,19.32816327,19.73632657,59.32816327,-0.67183673,-0.67183673,59.32816327,-0.67183673,19.32816327,19.32816327,-0.15020408,39.84979592,20.25795922,19.84979592,-0.15020408,-0.15020408,39.84979592,39.84979592,39.84979592,59.84979592,39.87959184,19.87959184,61.10408164,79.87959184,39.87959184,-0.12040816,39.87959184,39.87959184,-0.12040816,59.87959184,19.87979592,19.87979592,122.3287755,19.87979592,39.87979592,19.87979592,19.87979592,19.87979592,19.87979592,-0.12020408,-0.04020408,19.95979592,40.77612242,19.95979592,19.95979592,-0.04020408,19.95979592,-0.04020408,-0.04020408,19.95979592,-0.12020408,-0.12020408,-0.12020408,19.87979592,19.87979592,-0.12020408,59.87979592,-0.12020408,19.87979592,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,19.99,-0.01,39.99,19.99,-0.01,0,0,0,0,20,0,20,0,0,0
0.0175,99.32816327,39.32816327,19.73632657,19.32816327,-0.67183673,-0.67183673,19.32816327,19.32816327,19.32816327,19.32816327,19.84979592,-0.15020408,20.25795922,19.84979592,39.84979592,19.84979592,39.84979592,19.84979592,-0.15020408,-0.15020408,59.87959184,39.87959184,20.28775514,19.87959184,19.87959184,19.87959184,-0.12040816,19.87959184,19.87959184,59.87959184,99.87979592,-0.12020408,20.28795922,19.87979592,-0.12020408,19.87979592,19.87979592,-0.12020408,-0.12020408,-0.12020408,59.95979592,-0.04020408,-0.04020408,-0.04020408,-0.04020408,19.95979592,19.95979592,-0.04020408,-0.04020408,-0.04020408,-0.12020408,19.87979592,-0.12020408,-0.12020408,-0.12020408,-0.12020408,39.87979592,39.87979592,19.87979592,39.87979592,-0.01,-0.01,20.3981633,-0.01,-0.01,19.99,-0.01,-0.01,19.99,-0.01,0,0,0,0,0,0,0,0,0,0
0.0185,-0.67183673,-0.67183673,-0.67183673,19.32816327,-0.67183673,19.32816327,19.32816327,-0.67183673,19.32816327,19.32816327,-0.15020408,19.84979592,20.25795922,79.84979592,19.84979592,19.84979592,-0.15020408,39.84979592,-0.15020408,19.84979592,19.87959184,19.87959184,-0.12040816,19.87959184,39.87959184,-0.12040816,19.87959184,-0.12040816,-0.12040816,19.87959184,79.87979592,39.87979592,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,19.87979592,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,19.87979592,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,19.87979592,19.87979592,19.99,19.99,-0.01,-0.01,-0.01,19.99,-0.01,-0.01,-0.01,19.99,0,0,0,0,20,0,0,0,0,0
0.0195,19.32816327,-0.67183673,19.73632657,-0.67183673,39.32816327,-0.67183673,-0.67183673,19.32816327,-0.67183673,-0.67183673,19.84979592,-0.15020408,-0.15020408,19.84979592,-0.15020408,19.84979592,19.84979592,-0.15020408,39.84979592,19.84979592,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12020408,-0.12020408,20.28795922,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,19.87979592,-0.12020408,19.87979592,-0.12020408,-0.12020408,-0.12020408,19.87979592,19.87979592,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
