,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5,f08_stimulus_6,f08_stimulus_7,f08_stimulus_8,f08_stimulus_9,f08_stimulus_10
0.0005,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0015,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0025,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.42306122,-0.42306122,-0.42306122,19.57693878,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,19.7877551,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0035,-0.68408163,-0.68408163,-0.68408163,-0.68408163,19.31591837,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0045,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.4522449,-0.4522449,-0.4522449,-0.4522449,19.5477551,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.61489796,-0.61489796,-0.61489796,-0.61489796,19.38510204,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0055,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,19.9559184,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0065,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,19.74795919,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0075,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,19.31591837,-0.68408163,-0.68408163,19.72408167,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,19.79326534,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0085,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,-0.68408163,19.31591837,-0.68408163,60.54040817,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,19.98510208,-0.2122449,-0.2122449,-0.2122449,19.7877551,-0.2122449,-0.2122449,-0.2122449,-0.2122449,20.1959184,-0.2122449
0.0095,-0.68408163,-0.68408163,-0.68408163,-0.68408163,19.31591837,-0.68408163,-0.68408163,19.31591837,-0.68408163,40.13224487,-0.4522449,-0.4522449,-0.4522449,-0.4522449,19.5477551,19.5477551,-0.4522449,-0.4522449,19.9559184,19.9559184,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,20.15612249,40.56428569,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,39.38510204,40.20142854,40.20142854,-0.42306122,-0.42306122,-0.42306122,-0.42306122,19.57693878,-0.42306122,19.57693878,19.57693878,-0.42306122,-0.42306122,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0105,-0.68408163,19.31591837,-0.68408163,-0.68408163,19.31591837,39.31591837,59.31591837,59.31591837,40.13224487,101.3567347,-0.4522449,-0.4522449,-0.4522449,-0.4522449,-0.4522449,19.5477551,-0.4522449,-0.4522449,19.9559184,40.3640816,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,-0.25204081,19.74795919,-0.25204081,-0.25204081,20.15612249,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,-0.61489796,19.38510204,19.38510204,19.79326534,-0.61489796,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,39.57693878,-0.42306122,19.98510208,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,19.7877551,-0.2122449,-0.2122449,-0.2122449,-0.2122449
0.0115,-0.68408163,-0.68408163,-0.68408163,-0.68408163,19.31591837,-0.68408163,39.31591837,79.31591837,40.13224487,40.13224487,-0.4522449,-0.4522449,-0.4522449,-0.4522449,19.5477551,-0.4522449,59.5477551,19.5477551,19.9559184,-0.4522449,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.2010204,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,-0.13081632,20.27734698,-0.25204081,-0.25204081,-0.25204081,19.74795919,19.74795919,19.74795919,-0.25204081,79.74795919,40.56428569,40.56428569,-0.61489796,-0.61489796,-0.61489796,-0.61489796,19.38510204,19.38510204,59.38510204,-0.61489796,40.20142854,40.20142854,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,-0.42306122,39.57693878,19.98510208,40.39326528,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,-0.2122449,20.1959184
